,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
2008,Mahalakshmi Layout,S. Murali,37,1,4532687.0,135000.0,Bachelor of Commerce from Sikkim Open University in 2014,GEN,B.B.M.P(North),"Business - Proprietor- M s. Sri Manjunatha Car Rents, Tours and Travels",Not Given,Business / Entrepreneurship,Cound't Classify,ABHM,125.0,M,YzkuJ2Hg,2023,Graduate
2009,C.V. Raman Nagar,S. Chandra Shekar,43,1,2738500.0,,B.A. from Bangalore University in 2005,SC,B.B.M.P(North),Not Given,Not Given,Cound't Classify,Cound't Classify,IND,171.0,M,NAdqkvwY,2023,Graduate
2010,Sorab,S. Kumara Bangarappa,59,0,653212346.0,10959017.0,BA Bangalore University Bangalore passed in 20th March 1985,GEN,Shimoga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,BJP,54650.0,M,c67GrKQ8,2023,Graduate
2011,Bhalki,S Vaijaynath G,47,0,7395995.0,176600.0,"PUC - Udaygiri Mahavidyalaya Udgir Dist. Latur , SSLC - From Loknayak Jaiprakash Narayan High School Alwai Tq. Bhalki Dist, Bidar",GEN,Bidar,Social Service and Agriculture,Social Service and Agriculture,"Social Work / Activism, Agriculture / Farming","Social Work / Activism, Agriculture / Farming",IND,240.0,M,M3vf85aa,2023,Higher Secondary Education
2012,Dasarahalli,S. Muniraju,64,0,283646819.0,,"SSLC passed in the year 1975 at Bapu Multi Purpose High School Hesaragatta, Bangalore North Taluk",GEN,Bangalore Urban,Income from Business and Agriculture Pension as former MLA,Business and Agriculture,"Business / Entrepreneurship, Agriculture / Farming, Military / Defense","Business / Entrepreneurship, Agriculture / Farming",BJP,91289.0,M,Md8Vc76u,2023,Secondary Education
2013,Shikaripura,S. P. Nagarajagowda,49,2,18509511.0,9700948.0,"BA-First Class College, Shikaripura passed in 1997",GEN,Shimoga,Agriculture Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,IND,70802.0,M,RdotKrxE,2023,Graduate
2014,Gurmitkal,S. Nijalingappa Doddasambra,32,2,2114555.0,246793.0,"BBM-May-2014, Gulbarga University",GEN,Yadgir,"Social service Agriculture, Driving.","House work, Wage labour","Agriculture / Farming, Social Work / Activism, Transportation / Logistics",Not Given,KRS,1070.0,M,RjZbMMmr,2023,Graduate
2015,Chamundeshwari,S. Harisha,42,0,832000.0,550000.0,"Secondary School Leaving Certificate, Kallur Naganahalli, Yelwala, Mysore",GEN,Mysore,Coolie,House Wife,Unknown,Cound't Classify,UPP,2219.0,M,NNPpr8cr,2023,Secondary Education
2016,Rajarajeshwarinagar,S. Chandrashekhar,56,0,772500.0,660000.0,Diploma in Architecture - P S College,GEN,B.B.M.P(Central),Business,House Wife,Business / Entrepreneurship,Cound't Classify,KRS,553.0,M,VtvdbFg4,2023,Diploma Holder
2017,C.V. Raman Nagar,S. Raghu,53,0,421036051.0,27585783.0,"Dimploma in Civil Engineering from Acharya Pata Shala at Bangalore in 1990, Bachelor of Civil Engineer (BE) from Dayananda Sagar College, Bangalore University",SC,B.B.M.P(North),"Business, Social Work - MLA",House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given,BJP,69228.0,M,QPAYHf4M,2023,Graduate
2018,Kolar,S. Sathish,53,0,780000.0,,"B.Sc. Year 1991, LLB Havanur Law College Bangalore in 2003",GEN,Kolar,Lawyer,House Wife and Agriculture,Law / Judiciary,"Not Given, Agriculture / Farming",IND,488.0,M,ktHksees,2023,Graduate
2019,Shrirangapattana,S. Sacchidananda,35,0,558466645.0,85686064.0,"BA From PES College, Mandya-2007",GEN,Mandya,Businessman,Tehsildar,Business / Entrepreneurship,Law Enforcement / Security,BJP,42306.0,M,ARL79tWy,2023,Graduate
2020,Sorab,S. Shivayogi,29,0,4120000.0,570000.0,"Electrician Electronic ITI Electrician Electronic Diploma, Gnana Bharati ITI, Chikkeruru Govt Polytechnic Bhadravati",GEN,Shimoga,Self Business,Not Given,Business / Entrepreneurship,Cound't Classify,IND,246.0,M,jawT7u9e,2023,Vocational Training
2021,Narasimharaja,S. Satheesh Sandesh Swamy,60,0,295363465.0,,"M.A- Mysore Mukth University, Mysore",GEN,Mysore,Business and Agriculture,House Wife and Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,BJP,52360.0,M,bQUhwWCD,2023,Postgraduate
2022,Yeshvanthapura,S. Balraj Gowda,55,3,54872137.0,19592051.0,SSLC,GEN,Bangalore Urban,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,INC,21684.0,M,kcGr9AZc,2023,Secondary Education
2023,Kolar Gold Field,S. Rajendran,61,0,15968735.0,,"Master of Arts, Journalist at Mysore University, Mysore - 2006, MA from Patchayappa College, Chennai Completed in 1981, LLB from KGF Law College Chennai in 2004",SC,Kolar,Advocate,Not Given,Law / Judiciary,Cound't Classify,RPOIK,19396.0,F,8rX4vPrw,2023,Postgraduate
2024,Hubli-Dharwad Central,S. S. Patil,53,0,769500.0,,"Secondary School Leaving Certificate Pass from Higher and Primary School, Koralli, Alanda Tq., Kalburgi Dist. In 1986-87",GEN,Dharwad,News Paper Editor,House Wife,Media / Journalism,Cound't Classify,KRJSP,60.0,M,hXwXdGWK,2023,Secondary Education
2025,Chamundeshwari,S. Siddegowda,56,3,234488458.0,17693023.0,"4th STD ,govt school Mavinahalli, Jayapura hobli ,Mysore District 1977",GEN,Mysore,Agriculture,House wife,Agriculture / Farming,Not Given,INC,79373.0,M,FfgvaDKA,2023,Primary Education
2026,Holalkere,S.R.Indrajeet Naik,36,1,29800000.0,3000000.0,SSLC Nethaji Govt. School Bangalore in 2007,SC,Chitradurga,Land Developer,House wife and Land Developer Partnership,Construction / Real Estate,Hospitality / Tourism,JD(S),1576.0,M,2hmaNbnS,2023,Higher Secondary Education
2027,Kolar,S.B.Suresh,46,0,16815000.0,2100000.0,"LLB from SLRSC from Havanuru Law College, Bangalore University in 2004",GEN,Kolar,Practicing as an Advocate,Practicing as an Advocate,Law / Judiciary,Law / Judiciary,BSP,277.0,M,mTYesPS5,2023,Graduate
2028,Kapu,S.R.Lobo,60,1,5545000.0,,"F.S.M. Mumbai, M.P.P. M A Sociology appeared under KSOU at Mysore",GEN,Udupi,Agriculture,Teacher,Agriculture / Farming,Education / Academia,AAP,252.0,M,eFrojaDh,2023,Postgraduate
2029,Bellary City,S.B.Shiva Kumar,52,0,2415000.0,,5th from Govt High School Shanti Nagar Kustagi,GEN,Bellary,Constructional Labour,House wife,Construction / Real Estate,Not Given,IND,109.0,M,kF6xmqGf,2023,Primary Education
2030,Srinivaspur,S.Ramesh Kumar,44,0,50000.0,,SSLC Government high school 1996,GEN,Kolar,Own Business,Housewife,Business / Entrepreneurship,Education / Academia,IND,229.0,M,BsWV33qc,2023,Higher Secondary Education
2031,Davanagere North,S.S.Mallikarjun (Winner),55,1,1892037646.0,245804947.0,"B.Com. from M.S.B. College of Commerce, Davangere (Mysore University) in 1990",GEN,Davangere,"Chairman, Indian Cane Power Ltd., Davangere","Director, Indian Cane Power Ltd., Davangere",Agriculture / Farming,Business / Entrepreneurship,INC,94019.0,F,czR7BSAC,2023,Graduate
2032,Bhadravati,S.K. Sudheendra,48,0,1650000.0,275000.0,B.A(H)- MLTC-1997 Sarvodaya Composite College,GEN,Shimoga,Provision Store,House wife,Business / Entrepreneurship,Not Given,IND,145.0,M,3ijNba6y,2023,Graduate
2033,Bagepalli,S.N. Subbareddy (Chinnakayalapalli),56,0,3136194537.0,700769159.0,"SSLC from Govt. High School Gulur Bagepalli Taluk In 1983, Techer Certificate Higher from Venkateshwara TCH Training Colelge Marathahalli, Bangalore In 1986",GEN,Chikkaballapur,Business Agriculture,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,INC,82128.0,M,YbsvvWvk,2023,Diploma Holder
2034,Yeshvanthapura,S.T. Somashekar,65,1,278815551.0,31433690.0,"Bachelor of Science, Government Science College, Bangalore University - October 1980",GEN,Bangalore Urban,Private Transport Business,House Wife,"Transportation / Logistics, Business / Entrepreneurship",Cound't Classify,BJP,169149.0,M,6fBxSUrW,2023,Graduate
2035,Govindraj Nagar,S. Suresh,64,0,329480.0,,"6th std, government school amrutturu, kunigal tq, tumkur district, in 1971.",GEN,B.B.M.P(South),Vehicle driver,House wife,Transportation / Logistics,Not Given,IND,69.0,M,Qw5f373b,2023,Primary Education
2036,Molakalmuru,S.T.Hareesh Nayaka,27,0,103100.0,,"2nd PUC from SNS PU College, Hanagal in the year 2013-14 and Bachelor of Arts, Govt. 1st Grand College, Molakalmuru in the year 2016-17",ST,Chitradurga,"Own Business, Agriculturist",Not Given,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,AAP,243.0,M,X8LPzy2f,2023,Graduate
2037,Tumkur Rural,S.T.Govindaiah,52,0,31132609.0,25380000.0,"J.O.C Electrical, Mahatma Gandhi Junior College ,Kunigal in 1988",GEN,Tumkur,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,313.0,M,BBFaYtXF,2023,Technical/Professional Course
2038,Molakalmuru,S.Thippeswamy,74,0,35348014.0,5850000.0,B.Ed from TMC College Harappanahalli Bellary Gulbarga in 1982,ST,Chitradurga,Agriculture and social service,Pouthi,"Agriculture / Farming, Social Work / Activism",Unknown,BJP,87310.0,M,mAikHnYo,2023,Graduate
2039,Kapu,Sabina Samad,40,0,9407100.0,,M.A in History at Jamia MIllia Ismaia University at New Delhi,GEN,Udupi,Social Service,Unmarried,Social Work / Activism,Cound't Classify,JD(S),568.0,M,YzroSCBn,2023,Postgraduate
2040,Virajpet,S.Y.M. Masood Foujdar,57,0,67441072.0,,"M.A. (Pol.Sci.) KSOU Mysore (External) 2001, BBA from Dharbhanga Vidhya Peetha (Extenal) in 1989, B.E (Mechanical Engg.) from Bangalore University in 1992, Diploma in Computer Programming from St. Joseph College in 1990, Diploma in Journalism from KSOU My",GEN,Kodagu,Businessman Social Worker,House maker,"Business / Entrepreneurship, Social Work / Activism",Not Given,NCP,121.0,M,adN8udrx,2023,Postgraduate
2041,Gadag,Sachinkumar Karjekannavar,28,0,1700000.0,,"B.E (Mechanical)-2018 From PES Institute of Technology and Management Shivmoga, Vishweshwaraiah Technological University, Belgaum",GEN,Gadag,Agriculture Pvt. Work,Not Given,Agriculture / Farming,Cound't Classify,UPP,276.0,M,ZZTLeG9r,2023,Graduate
2042,Krishnarajanagara,Sa.Ra. Mahesh,57,0,534709361.0,179282140.0,"B.Sc. from Mysore University, Mysore in 1987",GEN,Mysore,Agriculture Business,Agriculture Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",JD(S),78863.0,M,6emTBriY,2023,Graduate
2043,Bangarapet,S.N. Narayanaswamy. V,34,0,786081.0,,"2nd puc ,Karnataka board of secondary education ,kamasamudram, bangarapet march 2010",SC,Kolar,Social work,House wife,Social Work / Activism,Not Given,IND,229.0,M,2GiYasYS,2023,Higher Secondary Education
2044,Bangarapet,S.N. Narayanaswamy. K.M,55,1,462691047.0,144910671.0,"Bachelor of Arts from Gandhi Instiitute of Technology and Management (GITAM) Deemed to be Unversity, Completed in the Year 2021",SC,Kolar,"Social Worker, Business Agriculture",House Wife Business,"Social Work / Activism, Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,INC,77292.0,M,C44rQLpk,2023,Graduate
2045,Jagalur,S.V.Ramachandra,66,0,146561132.0,39197532.0,SSLC Government High School Davangere 1975,ST,Davangere,Agriculture,social service educational advicer,Agriculture / Farming,Social Work / Activism,BJP,49891.0,M,R6sxZo9M,2023,Higher Secondary Education
2046,Chamaraja,Saleem Ahamed,40,1,20400000.0,400000.0,6th Class Government Urdu Higher Primary School Nanjangud Mysore,GEN,Mysore,Fruit Business,House Wife,Agriculture / Farming,Cound't Classify,IND,91.0,M,c2vnyAVE,2023,Primary Education
2047,Kagwad,Sadanand B Magadum,25,0,880000.0,,"BCA From S. N. G. P. S. N. M.T. B. S. A. College Nudasosi, November 2019",GEN,Belgaum,Private Job,Not Given,Information Technology,Cound't Classify,IND,228.0,M,5UAYBHv3,2023,Graduate
2048,Virajpet,Saju. V.A. (Bave),38,0,43000.0,250000.0,B.Com Passed FMKMC College Madikeri,GEN,Kodagu,Timber Worker,House Wife,Construction / Real Estate,Cound't Classify,KRS,123.0,M,AW9V834H,2023,Graduate
2049,Nippani,Sambhajidada Bapuso Thoravat,48,0,375000.0,,"SSLC Ch. Rajaram Hidn School, Kolhapur [Maharashtra] In the year 1993",GEN,Belgaum,Private Service,House hold work,Cound't Classify,Cound't Classify,IND,291.0,F,UMJX8tcm,2023,Higher Secondary Education
2050,Hangal,Saikumar V Pawar,40,0,5051009.0,2751876.0,Bachelor of Business Managemant From Bangalore University Passing Year April 2006,GEN,Haveri,Civil Contractor,"Private, M S Nokia Siemens Networks Pvt Ltd",Construction / Real Estate,Cound't Classify,AAP,723.0,M,kPHgokhe,2023,Graduate
2051,Athani,Sagar Kumbar,38,1,709000.0,200000.0,ITI Sri Madara Chennaiah ITI College in 2006,GEN,Belgaum,Photographer,No,Arts / Entertainment,Cound't Classify,KRS,76.0,M,mjaymmKG,2023,Vocational Training
2052,Madikeri,Sajeer Majeed Nelat,37,1,932520.0,157000.0,SSLC Passed Rajarajeshwari High School Madikeri 2002,GEN,Kodagu,Not Given,Not Given,Cound't Classify,Cound't Classify,KRS,155.0,M,8RGGXVP7,2023,Higher Secondary Education
2053,Tirthahalli,Salur Shivakumar Gowda,38,0,73332823.0,5162435.0,BAL. LLB. MBL. from Banglore University in 2008,GEN,Shimoga,Advocate,Asst-Professor,Law / Judiciary,Education / Academia,AAP,501.0,M,K6wxGLwg,2023,Postgraduate
2054,Mudhol,Sagar Roddappanavar,32,0,1040000.0,,"7th to 9th Class From High School Galagi-Hulakoopa Ta, Kalaghatagi",SC,Bagalkot,Labour,House wife,Cound't Classify,Not Given,KJP,284.0,M,krvDVsNH,2023,Secondary Education
2055,Byatarayanapura,Sampoorna Gowda,33,0,4745000.0,1350000.0,"BA incomplete at Bangalore Open University in 2019-20, SSLC from R. Rangaswamy Hingh School, Sunkada Katte in 28 06 2008",GEN,Bangalore Urban,"Founder CEO and Chief Editor to Sampoornavanni News Paper, (Digital media with news papers RN Reg. No.(KARKAN 2021 81312) Sampoornavaani Publication, printer printing machine","Managing Director of Sampoornavaani New Paper, Digital media with news paper",Arts / Entertainment,Media / Journalism,SP,175.0,M,LTSdWES3,2023,Graduate
2056,Mangalore City North,Sandeep P Shetty,38,0,17244200.0,2200000.0,BHS Bachelor of Hospitality Science from Mangalore University Konaj Mangalore in 2007-08,GEN,Dakshina Kannada,Construction and Interiors,Software Engineers,Construction / Real Estate,"Engineering / Technology, Information Technology",AAP,493.0,M,JCuqtKoK,2023,Graduate
2057,Yelahanka,Sandesh G,36,1,900000.0,,"10th Pass, Baldwin Boys High School 2003",GEN,Bangalore Urban,Agriculture and Rental Income,Not Given,Agriculture / Farming,Cound't Classify,IND,271.0,M,ByhiqRYe,2023,Secondary Education
2058,Gangawati,Sangamesh Sugreevaa,35,2,6189711.0,7540177.0,"Civil Engineering from Janardan Rai Nagar Rajasthan Vidhyapeeth, Rajasthan In -2010-11",GEN,Koppal,Civil Engineering,Not Given,Engineering / Technology,Cound't Classify,IND,372.0,M,cQNUZgTg,2023,Graduate
2059,Mulbagal,Samruddhi V. Manjunath,41,2,597023550.0,174598335.0,"PUC , Government Boys Pre University College, Srinivaspura in 2001",SC,Kolar,"Builder and Developer, Film Producer",Director in Private Company Limited,"Construction / Real Estate, Arts / Entertainment",Business / Entrepreneurship,JD(S),94254.0,M,AgxfPpuA,2023,Higher Secondary Education
2060,Krishnaraja,Sandhya. P.S,44,0,4575342.0,,MSW LLB,GEN,Mysore,Works For Party,Works For Party,Politics / Public Service,Politics / Public Service,SUCIC,115.0,F,ArAmM2eY,2023,Postgraduate
2061,Yelahanka,Sandeep Marasandra Muniyappa,35,0,24178322.0,,M.B.A. (Finance ) Annamalai University 2014 B.Com 2009,GEN,Bangalore Urban,Business,House Wife,Business / Entrepreneurship,Cound't Classify,BSP,940.0,M,gGmvUjnT,2023,Postgraduate
2062,Athani,Sampathkumar Shetti,37,0,67993300.0,5460059.0,"Master in Public Administration from Indra Gandhi National Open University - 2015, Bachelor of Arts Bachelor of Laws from Karnataka University Dharwad - 2010",GEN,Belgaum,"Advocate ,Agriculture",Horticulture,"Law / Judiciary, Agriculture / Farming",Agriculture / Farming,AAP,292.0,M,JDsXj7PJ,2023,Postgraduate
2063,Saundatti Yellamma,Sadanand Uppar,27,0,197000.0,,2nd PUC Prisam P U science college Dharwad 580001,GEN,Belgaum,Private Job,Not Given,Information Technology,Cound't Classify,IND,419.0,M,PtruqJhS,2023,Higher Secondary Education
2064,Davanagere South,Sajid,44,2,3562320.0,1015000.0,Bachelor of Commerce in Chhattisgarh University - 2005,GEN,Davangere,Garments Business,Not Given,Business / Entrepreneurship,Cound't Classify,AAP,562.0,M,C2VHeYW6,2023,Graduate
2065,Kanakagiri,Sandeep Sanjeevappa Budagumpa,35,1,2262000.0,80000.0,"PUC Govt boys PP College, Gangavathi 2005-06",SC,Koppal,Private Work,House Wife and Chairman Municipal Gangavathi,Business / Entrepreneurship,"Not Given, Politics / Public Service",IND,678.0,M,XED4bdSr,2023,Higher Secondary Education
2066,Nagthan,Sanjeev Malasiddappa Aihole,40,0,6091000.0,,B A Karnataka open University Bangalore 2015,SC,Bijapur,Business,House Wife,Business / Entrepreneurship,Cound't Classify,BJP,48175.0,M,afZB7PFc,2023,Graduate
2067,Belgaum Rural,Sanjeev Pranesh Ganachari,51,0,13014000.0,200000.0,"SSLC from Swami Vivekananda High School, Badal Anakalgi",GEN,Belgaum,Business (general store),House wife,Business / Entrepreneurship,Not Given,IND,218.0,M,EzMhZz3s,2023,Higher Secondary Education
2068,Harihar,Sankethraj S,39,0,120000.0,,"Diploma in Electrical and Electronics Engineering, Bapuji Polytechnic, Davangere, May - 2007",GEN,Davangere,Business and Common Service Center(CSC),No,Business / Entrepreneurship,Cound't Classify,KPJP,98.0,M,SvmAYVqr,2023,Diploma Holder
2069,Chincholi,Sanjeevan Yakapur,47,2,38185954.0,3695681.0,"PUC Pass, B.A. Degree Incomplete",SC,Gulbarga,Agricultural,House wife,Agriculture / Farming,Not Given,JD(S),6555.0,M,h7ajjJeE,2023,Higher Secondary Education
2070,Sindhanur,Sangram Narayan Killed,36,1,32771297.0,7576780.0,"Master of Science (M.Sc) from Environmental Science in August 2011, Reg No. ES989001, Kuvempu University, Jnana Sahyadri Shankaraghatta.",GEN,Raichur,Self Employed,Self Employed,Business / Entrepreneurship,Business / Entrepreneurship,AAP,1388.0,M,S2mq4hKs,2023,Postgraduate
2071,Nagthan,Sanjeev Pundalik Mane,43,1,4748357.0,,"Medical Graduate From R K medical University Vijayapura, Rajeev Ghandi Health university Bengaluru 2008, Karnataka",SC,Bijapur,Advocate Social Service,Advocate Notary Social Service,"Law / Judiciary, Social Work / Activism","Law / Judiciary, Social Work / Activism",IND,338.0,M,Ya4RmyNu,2023,Graduate
2072,Athani,Sanjeev Harishchandra Kamble,36,0,240508.0,,"B.Sc., LLB from Karnataka State Law University in 2021",GEN,Belgaum,Advocate,Not Given,Law / Judiciary,Cound't Classify,AMKP,90.0,M,WNGhWWr3,2023,Graduate
2073,Basavana Bagevadi,Sangappa Chandu Lamani,71,0,2611100.0,,"PUC- Shree Basaveshwara Govt PU College, B.Bagewadi 1981-82",GEN,Bijapur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,747.0,F,gevj9yRQ,2023,Higher Secondary Education
2074,Kagwad,Sanjay Shankar Kambale,42,0,1300000.0,,SSLC YEAR 1997,GEN,Belgaum,Business,No,Business / Entrepreneurship,Cound't Classify,BSP,632.0,M,QmojGNbc,2023,Higher Secondary Education
2075,Heggadadevankote,Sannanayka,64,0,2446000.0,485000.0,6th Government High School Hemoragalli HD Kote Taluk in 1965-66,ST,Mysore,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,671.0,M,Y9jfaxTb,2023,Primary Education
2076,Harapanahalli,Sangavva K Uttangi,40,0,3510000.0,,"LLM,KSLU Law School,Navanagar Huballi in 2022",GEN,Davangere,Advocate,House Wife,Law / Judiciary,Cound't Classify,IND,490.0,M,PApLmvFV,2023,Postgraduate
2077,Basavakalyan,Sanjukumar Wadekar,53,1,416229000.0,4000000.0,BE (Mechanical) C.W.I.T Pune Year 1994,GEN,Bidar,"Retired Servant, Business and Agriculture",Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,JD(S),1526.0,M,3TTFRQX6,2023,Graduate
2078,Shirahatti,Santosh Gouravva Hiremani,34,0,80000.0,,B.Ed. From J.A. Institute College Mundaragi in 2011-12,SC,Gadag,Coolie Municipal Member,House Wife,Law Enforcement / Security,Cound't Classify,IND,458.0,M,hz52wN6H,2023,Graduate
2079,Chincholi,Santosh,36,0,25000.0,,BA - Mumbai University Year 2008,SC,Gulbarga,Private Business,Social Worker,Business / Entrepreneurship,Social Work / Activism,IND,202.0,M,dMh7vTQe,2023,Graduate
2080,Hubli-Dharwad West,Santosh Nandur,44,1,2195856.0,,"Master of Computer Applications from Basaveshwar Engineering College, Visveshwariah Technological University in 2003",GEN,Dharwad,Service and Training and Social Activist,Training and Administration,Social Work / Activism,"Consulting / Advisory, Politics / Public Service",UPP,426.0,M,XGsGef9W,2023,Postgraduate
2081,Govindraj Nagar,Santhosh Kumar K S,30,0,92000.0,,"B.Com, From Jain college in 2005.",GEN,B.B.M.P(South),Public company,No,Business / Entrepreneurship,Cound't Classify,IND,112.0,M,CABYLriP,2023,Graduate
2082,Malleshwaram,Santosh S,33,0,390000.0,,"Diploma Mechanical Engineer , SJP College ,K.R.Circle Bangalore in 2009",GEN,B.B.M.P(North),Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify,BPKP,92.0,M,b66uszhD,2023,Diploma Holder
2083,Jayanagar,Santhosh B,38,0,1312500.0,1603000.0,"8th Std Discontinued, BBMP School Tasker Town, Bangalore in 1998",GEN,B.B.M.P(South),Self Employed,House Wife,Business / Entrepreneurship,Cound't Classify,UPP,652.0,F,gaDY6YZW,2023,Illiterate
2084,Yellapur,Santosh Manjunath Shet Raikar,43,0,235036000.0,13200000.0,"Secondary School Leaving Certificate, Pass, Govt Combined High School, Chigalli - 1996-97",GEN,Uttara Kannada,Agriculture and Business,House Wife and Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,KRPP,302.0,M,mDUd2iaR,2023,Secondary Education
2085,Terdal,Santhosh Basappa Hanagandi,36,0,81000.0,,Bachelor of Computer Application From Karnataka University Dharwad Karnataka 2010,GEN,Bagalkot,Private Job,Housewife,Information Technology,Education / Academia,IND,782.0,M,oEBtA67M,2023,Graduate
2086,Jayanagar,Saravana S,37,0,5797000.0,525000.0,"12th Pass in Vijaya PU College, Jayanagar 4th Badavane, Bangalore in 2006",GEN,B.B.M.P(South),Labour,No,Cound't Classify,Cound't Classify,IND,160.0,M,8dHp3xew,2023,Higher Secondary Education
2087,Belgaum Dakshin,Santosh Siddappa Kemp,37,0,26600014.0,253505.0,SSLC 2002 from Sangolirayna government school nehru nagar belgavi,GEN,Belgaum,Agriculture,Housewife,Agriculture / Farming,Education / Academia,IND,619.0,M,iqpCh4kR,2023,Higher Secondary Education
2088,Ranibennur,Santoshkumar E Kyatappanavar,39,0,1485000.0,870000.0,BAMS under graduate in rajvee gandhi university of health science karnataka,GEN,Haveri,Doctor (ayurveda),House wife,Medicine / Healthcare,Not Given,UPP,836.0,M,BXzD2Azj,2023,Graduate
2089,Aurad,Santoshkumar,37,0,,,"SSLC Pass - Govt. High School Ladha Taluk, Bidhar",SC,Bidar,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,IND,331.0,M,HkmqpZeL,2023,Higher Secondary Education
2090,Shivajinagar,Saravanan S,49,0,8241250.0,400000.0,Diploma in electrical engineering 1996,GEN,B.B.M.P(Central),self employment,house wife,Business / Entrepreneurship,Not Given,IND,122.0,M,9oUeRETA,2023,Diploma Holder
2091,Gandhi Nagar,Sapthagiri Gowda A R,43,0,233036606.0,116629717.0,University Post Graduate Diploma in Law (Staffordshire University UK) Year 2005,GEN,B.B.M.P(Central),Entrepreneur and Consultant,Service (Employee),"Business / Entrepreneurship, Consulting / Advisory",Unknown,BJP,54013.0,M,He4msoTT,2023,Postgraduate
2092,Hubli-Dharwad West,Saroja F. Nagendragad.,60,0,10000.0,,SSLC - Govt high School hobli,GEN,Dharwad,Daily wages and social service,Daily wages,Social Work / Activism,Unknown,IMP,104.0,M,PMTXpdZp,2023,Higher Secondary Education
2093,Bommanahalli,Sathish Reddy,37,1,163435.0,,"PUC -V V PURAM COLLEGE,Bangalore-2002-03",GEN,B.B.M.P(South),Driver,House wife,Transportation / Logistics,Not Given,IND,465.0,F,2dJQiZEA,2023,Higher Secondary Education
2094,Gangawati,Saraswati K,35,2,1949000.0,,PUC from Govt. Girls PU College Gangavathi In 2020-21,GEN,Koppal,Daily wage,Togetherness Home Guard,Cound't Classify,Science / Research,RPIB,222.0,M,aztpVoJ7,2023,Higher Secondary Education
2095,Kalghatgi,Santosh S Lad,48,8,1387295352.0,263932858.0,"B.Com from SESS College Sandur, Bellary District in 1997",GEN,Dharwad,Business Entrepreneur,Homemaker,Business / Entrepreneurship,Not Given,INC,85761.0,M,ZUeggxjR,2023,Graduate
2096,Bijapur City,Satish Ashok Patil,35,0,1725412.0,1255000.0,"B.Sc, B.Ed",GEN,Bijapur,"Agriculture ,Business",House Keeping,"Agriculture / Farming, Business / Entrepreneurship",Hospitality / Tourism,SSUBT,149.0,M,MwdtFpLT,2023,Graduate
2097,Kagwad,Satish Bhupal Sanadi,32,0,1642500.0,,"12th Commerce From B.S. Patil College, Salagar 2007",GEN,Belgaum,Agriculture,house wife,Agriculture / Farming,Not Given,RSPS,72.0,M,QPEZn6fk,2023,Higher Secondary Education
2098,Shanti Nagar,Satish Chandra .M,47,0,471720.0,,"B.A. from St. Josephs College Arts Science, Bangalore In 1993, Master in Political Science (In-Complete) from Bangalore Open University",GEN,B.B.M.P(Central),"Event Manager, Self Employed and Politician",House Wife,"Business / Entrepreneurship, Social Work / Activism, Politics / Public Service",Cound't Classify,BSP,301.0,M,SS2yDdtu,2023,Graduate
2099,Karwar,Satish Krishna Sail,57,14,568440450.0,176330172.0,"B.Sc. from Government Arts Science College, Karwar in 1992",GEN,Uttara Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,INC,77445.0,M,MUuSjqDo,2023,Graduate
2100,Malavalli,Sathishkumar T. N.,43,0,5000000.0,,SSLC Government High School Alaluru Mavalli Taluk Mandya District in 1996-97,SC,Mandya,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,390.0,M,6eWKziV8,2023,Higher Secondary Education
2101,Bommanahalli,Sathish Reddy .M,33,0,17656000.0,,Engineering in Visveshwaraiah Technology University Belgaum,GEN,B.B.M.P(South),Own Business,House wife,Business / Entrepreneurship,Not Given,BJP,113574.0,M,RW8uzVrM,2023,Graduate
2102,Bommanahalli,Sathish Reddy .M,33,0,17656000.0,,Engineering in Visveshwaraiah Technology University Belgaum,GEN,B.B.M.P(South),Own Business,House wife,Business / Entrepreneurship,Not Given,IND,359.0,M,CeMW9xDc,2023,Graduate
