,constituency,name,cases,assets,liabilities,education,self_profession,spouse_profession,self_profession_category,spouse_profession_category,district,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent,uuid,Year,education_category
2224,Bangarapet,S.N Narayanaswamy K.M,0.0,106774940.0,37406757.0,"SSLC from Govt Boys Junior College,. Bangarpet",Business Agriculture,House wife Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,Kolar,M,45,INC,SC,172912,141858,71570,50.45,jygZiuFs,2013,Higher Secondary Education
2225,Yeshvanthapura,S.P. Somashekar,0.0,100000.0,,Metriculation,Auto Driver,House wife,Unknown,Not Given,Bangalore Urban,M,34,IND,GEN,349639,231515,1126,0.49,NHahW29j,2013,Secondary Education
2226,Sarvagnanagar,S.M.Shakir,0.0,2334141.0,,AALIM FAZIL FROM DARUL LILOOM DEOBAND LI-P INDIA,RELIGIOUS PREACHER,Not Given,Religion / Spirituality,Cound't Classify,B.B.M.P(North),M,52,WPOI,GEN,280041,140672,225,0.16,3krvp2PS,2013,Graduate
2227,Sorab,S.Madhu Bangarappa,0.0,332325000.0,156544875.0,B.A. Bangalore University in 1988,self employed and agriculture,Homemaker,"Business / Entrepreneurship, Agriculture / Farming",Not Given,Shimoga,M,47,JD(S),GEN,172035,141159,58541,41.47,RTg4x9hk,2013,Graduate
2228,Shimoga,S.Rudre Gowda,0.0,87417408.0,,Diploma in Metallurgicals AMIIM(Equivalent to Degree in Metallurgy ) Visweshwarayya Sliver Jubilee Polytechnic College Bhadrabathi Indian Institute of Metals,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Shimoga,M,63,KJP,GEN,215937,139648,39077,27.98,fPC6SJ6V,2013,Diploma Holder
2229,Gubbi,S.R.Srinivas,0.0,19080210.0,6975441.0,B.A. From Tumkur University,Bussiness and Agriculture,House Wife,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,Tumkur,M,51,JD(S),GEN,167885,139659,58783,42.09,NL7Emv9q,2013,Graduate
2230,Mangalore City South,S.P.Chengappa,0.0,340000.0,327568.0,"B.Com,L.L.B.Sri SDM LAW College Manglore University 1988-89",Advocate,Advocate,Law / Judiciary,Law / Judiciary,Dakshina Kannada,M,54,JD(S),GEN,205065,132315,1672,1.26,e6UiLzhn,2013,Graduate
2231,Ramanagaram,S.R.Nagaraju,0.0,1200000.0,,2nd puc,farmer AND SOCIAL SERVICE,HOME MAKER,"Agriculture / Farming, Social Work / Activism",Not Given,Ramanagaram,M,53,KJP,GEN,184788,148705,468,0.31,HQpQiw49,2013,Higher Secondary Education
2232,Nanjangud,S.Mahadevaiah,0.0,5595000.0,100000.0,B.A,Agricultural,House wife,Agriculture / Farming,Not Given,Mysore,M,58,KJP,SC,185095,141009,28312,20.08,KaRVvotN,2013,Graduate
2233,Harihar,S.Ramappa,0.0,6648577.0,580680.0,Unknown,Not Given,Not Given,Cound't Classify,Cound't Classify,Davangere,M,54,INC,GEN,194111,150743,40613,26.94,NozBGa6A,2013,Unknown
2234,Malur,S.R.Krishnaiah Shetty,0.0,881000.0,,"SSLC,govt school,tekal,MALUR taluk",Agriculture and retail shop,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given,Kolar,M,54,IND,GEN,163883,143121,1283,0.9,nmSZZUgL,2013,Secondary Education
2235,Davanagere North,S.S.Mallikarjun,4.0,602024677.0,126426164.0,"B.Com. from M..S.B. College of Commerce, Davangere Mysore University in April 1990, P.U.C. from A.R.G. College Davangere in April 1986, S.S.L.C. from D.R.R. High School Davangere in April 1983","Managing Director, Indian Cane Power Ltd Davangere",House Wife,Business / Entrepreneurship,Cound't Classify,Davangere,M,45,INC,GEN,208005,134450,88101,65.53,hcxkecnp,2013,Graduate
2236,Narasimharaja,S.Shanthappa,0.0,95000.0,,"1st p.u.c, Maharaja college, mysore",labour leader,house wife,Social Work / Activism,Not Given,Mysore,M,65,IND,GEN,211635,115764,353,0.3,PNxmiVQh,2013,Higher Secondary Education
2237,Narasimharaja,S.Satheesh Sandesh Swamy,0.0,55805112.0,,M.A.,Agricultural,HOUSE WIFE,Agriculture / Farming,Not Given,Mysore,M,50,JD(S),GEN,211635,115764,29180,25.21,evvMshTy,2013,Postgraduate
2238,Padmanaba Nagar,S.N. Srirama,1.0,9810732.0,,Unknown,Agriculture and Business,Government Employee with Karnataka Assembly (Branch Officer),"Agriculture / Farming, Business / Entrepreneurship",Politics / Public Service,B.B.M.P(South),M,62,KJP,GEN,219754,128353,3089,2.41,AY8rFPCZ,2013,Unknown
2239,Vijay Nagar,S.Siddaraju,0.0,134086.0,,S.S.L.C From Ambedker Memorial high school bangalore,business,HOUSE WIFE,Business / Entrepreneurship,Not Given,B.B.M.P(South),M,43,RPI,GEN,235950,133197,132,0.1,PYeKjCrP,2013,Secondary Education
2240,Rajaji Nagar,S.Suresh Kumar,1.0,26451449.0,1272623.0,B.Sc LLB From Bangalore University In 1980,"MLA, Rajajinagar","Chief Editor, Cine Jossh Monthly Magazine","Politics / Public Service, Law Enforcement / Security",Arts / Entertainment,B.B.M.P(Central),M,57,BJP,GEN,176249,107802,39291,36.45,a97nMPyP,2013,Graduate
2241,Bhadravati,S.Venkateshmurthy,0.0,4598685.0,100000.0,Unknown,speritual director,Goldmining Head Officer,Religion / Spirituality,Unknown,Shimoga,M,29,LSP,GEN,199358,143556,158,0.11,JcYV97ik,2013,Unknown
2242,Melukote,S.Vasanthakumar,0.0,1765400.0,118400.0,"2nd year BCom,Vijaya college,1989-90, pandavapura",Business,Teacher,Business / Entrepreneurship,Education / Academia,Mandya,M,46,IND,GEN,191395,160892,1368,0.85,2FdJT3Gz,2013,Unknown
2243,Kudligi,S.Venkatesha,0.0,1047500.0,25000.0,10TH,farmer,House wife,Agriculture / Farming,Not Given,Bellary,M,50,INC,ST,170516,132941,46674,35.11,XKaGV559,2013,Secondary Education
2244,Byatarayanapura,S.Vinayaka Subramani,0.0,1300000.0,,Unknown,interior designer,house wife,Arts / Entertainment,Not Given,Bangalore Urban,M,36,BSRC,GEN,330387,208322,302,0.14,edUeLHy3,2013,Unknown
2245,Srinivaspur,S.V. Venkatachalapathi,0.0,515000.0,300000.0,"PUC at SABARAMATHI PU COLLEGE, SUGATURU, in 1994-1995",AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given,Kolar,M,35,KJP,GEN,190885,168875,266,0.16,2oRLiNNd,2013,Higher Secondary Education
2246,Yeshvanthapura,S.T. Somashekar,0.0,70064872.0,30053411.0,BSc,Private Transport,Housewife,Transportation / Logistics,Education / Academia,Bangalore Urban,M,55,INC,GEN,349639,231515,120380,52.0,QCJ856GY,2013,Graduate
2247,Mangalore City South,Sachin Hegde,0.0,3455000.0,1008648.0,SSLC,PRIVATE COMPANY SUPPLIER,house wife,Cound't Classify,Not Given,Dakshina Kannada,M,44,IND,GEN,205065,132315,283,0.21,M87tom4b,2013,Secondary Education
2248,Rajaji Nagar,S.T.Anand,0.0,927481218.0,78803460.0,Higher Primary School - School Certificate and TC attached.,BUSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,B.B.M.P(Central),M,52,JD(S),GEN,176249,107802,16794,15.58,MeACsS3B,2013,Primary Education
2249,Babaleshwar,Sadashivappa Yamanappa Hadimani,0.0,334527.0,,"LLM,kuvempu university,shivamoga,2013",Lawyer,Govt. Employee,Law / Judiciary,Unknown,Bijapur,M,43,IND,GEN,184083,134348,924,0.69,dMfdMy4E,2013,Postgraduate
2250,Kumta,Sadanand Annappa Deshbhandari,0.0,2173234.0,485000.0,"B.A. S.D.M. COLLEGE HONNAVARA , Dr. A.V. BALIKA BOYS COLLEGE KUMUTA IN 1973",RETIRED GOVT. EMPLOYEE,GOVERNMENT EMPLOYEE,Education / Academia,Law Enforcement / Security,Uttara Kannada,M,63,JD(U),GEN,167620,124257,572,0.46,AGyi3DS9,2013,Graduate
2251,Byatarayanapura,Sadiq Basha,0.0,2648500.0,,"urdu school,Bangalore",Business,house wife,Business / Entrepreneurship,Not Given,Bangalore Urban,M,33,IND,GEN,330387,208322,497,0.24,JJJ6yJnf,2013,Unknown
2252,Chikkaballapur,S.V.Lokesh,0.0,2549000.0,,PUC bangalore vishvavidya year 1992,BUSINESS,TEACHER,Business / Entrepreneurship,Education / Academia,Chikkaballapur,M,38,BSRC,GEN,176367,146709,1692,1.15,3d6BfwiB,2013,Higher Secondary Education
2253,Rajarajeshwarinagar,Sadashiva A.H,0.0,6953200.0,1000000.0,MBA MADHURAI UNIVERCITY MADHURAI-2010,PRIVATE EMPLOYEE,PRIVATE EMPLOYEE,Not Given,Not Given,B.B.M.P(Central),M,37,BhJD,GEN,334493,189998,270,0.14,R9pFAJ8y,2013,Postgraduate
2254,Athani,Sadashiv Kedari Butali,1.0,57443024.0,8914661.0,7th Standard,"Chair Person, Jyothirlinga Multipurpose Cooperative credit Society, Atani",Hotel buisness,Business / Entrepreneurship,"Hospitality / Tourism, Business / Entrepreneurship",Belgaum,M,58,JD(S),GEN,186167,146290,15204,10.39,oFTCd22N,2013,Primary Education
2255,Channapatna,Sadath Ali Khan,0.0,597390624.0,219057361.0,B.Com,Business Rental Income,Rental income,Business / Entrepreneurship,"Business / Entrepreneurship, Construction / Real Estate",Ramanagaram,M,72,INC,GEN,198764,168511,8134,4.83,WPQfEd9i,2013,Graduate
2256,Hiriyur,S.Siddesh Yadav,0.0,2170000.0,1300000.0,MA Politicle sience,President for BJP Chithradurga district,House Wife,Politics / Public Service,Cound't Classify,Chitradurga,M,41,BJP,GEN,216172,160397,2880,1.8,ADaYW6cc,2013,Postgraduate
2257,Navalgund,Saidapur Yallappa Dundur,0.0,375500.0,,Unknown,agriculture,house wife,Agriculture / Farming,Not Given,Dharwad,M,30,BSP,GEN,182898,137347,935,0.68,KTm8cBYW,2013,Unknown
2258,Gurmitkal,Sabanna,0.0,450000.0,,MODREN SCHOOL MUMBAI IN 1993,AGRICULTURAL SOCIAL WORKER,HOUSE WIFE,"Agriculture / Farming, Social Work / Activism",Not Given,Yadgir,M,36,IND,GEN,203045,129030,1087,0.84,A8Jddwoj,2013,Unknown
2259,T.Narasipur,Sampathkumar,0.0,25720540.0,2250000.0,Bechelor Of Engineering Civil MSRIT Bangalore University 1995,Self Employed,State Govt Employee,Business / Entrepreneurship,Politics / Public Service,Mysore,M,43,IND,SC,179884,135293,1537,1.14,NpRyeiSz,2013,Graduate
2260,Shirahatti,Sandakad Doddahuchappa Doddayallappa,1.0,535000.0,150000.0,H.C.E.S HIGH SCHOOL CHINCHAL,SHEKETHI,HOUSE WIFE,Unknown,Not Given,Gadag,M,39,IND,SC,182763,131227,1947,1.48,fzcwkeFT,2013,Unknown
2261,Yemkanmardi,Sanaram Siddappa Naik,0.0,1165556.0,500000.0,"BA, LINGARAJA MAHAVIDYALAYA BELGAVI 1986-87",Agricultural,House wife,Agriculture / Farming,Not Given,Belgaum,M,46,JD(S),ST,162258,124560,3348,2.69,7W7ZueXo,2013,Graduate
2262,Hirekerur,Sampatkumar. B. Muttalli,0.0,1450257.0,920000.0,L.L.B. B.A. From KPES Law College Karnataka University Dharwad In The Year 2002,Advocacy,House Wife,Law / Judiciary,Cound't Classify,Haveri,M,40,LSP,GEN,162016,132997,2921,2.2,RY5cqevY,2013,Graduate
2263,Karwar,Sail Shrikant Ganapati,0.0,340000.0,,"Union high school, Majali, Karwar (april 1983)",fisherman,house hold,Agriculture / Farming,Not Given,Uttara Kannada,M,48,IND,GEN,205831,145439,1009,0.69,PNPawKDE,2013,Higher Secondary Education
2264,Devar Hippargi,Sajjan. Malleshappa. Ishvarappa,0.0,,,Unknown,farmer,labour,Agriculture / Farming,Cound't Classify,Bijapur,M,51,IND,GEN,178141,115245,545,0.47,PBnx7Pxh,2013,Unknown
2265,Jayanagar,Sameeulla K.S,0.0,777188058.0,64224430.0,SSLC,"Land Developer, Builder and Social Worker",Housewife,"Business / Entrepreneurship, Social Work / Activism",Education / Academia,B.B.M.P(South),M,50,JD(S),GEN,170907,95565,12097,12.66,acERYBWi,2013,Secondary Education
2266,Shikaripura,Saifulla.G,0.0,1000000.0,350000.0,SSLC,agriculter,house wife,Agriculture / Farming,Not Given,Shimoga,M,43,IND,GEN,172735,138566,936,0.68,98G6JY7K,2013,Secondary Education
2267,Belgaum Dakshin,Sambhaji Lakshman Patil,1.0,208404808.0,14286364.0,"6th Standard in 1966 from MBS 18,Shahapur",Agriculturist Partner in milk dairy firm,Partner in milk dairy firm,Agriculture / Farming,Agriculture / Farming,Belgaum,M,62,IND,GEN,202238,131946,54426,41.25,er9LroAT,2013,Primary Education
2268,Byadgi,Salimath Rudrayya Andanayya,0.0,1550893.0,35460.0,"7TH STANDARD,GOVT H.P.K.B SCHOOL,KERAVADI ,BYADGI TALUK,HAVARI DISTRICT",ACHARYA,HOUSE WIFE,Religion / Spirituality,Not Given,Haveri,M,48,IND,GEN,180548,149831,707,0.47,MdkfoAha,2013,Primary Education
2269,Mandya,Sandesh.M.R,0.0,4504500.0,,Diploma(E C),Business,Not Given,Business / Entrepreneurship,Cound't Classify,Mandya,M,29,SJKP,GEN,222941,152818,211,0.14,kC2CjpVr,2013,Diploma Holder
2270,Bhadravati,Sangameshwara B K,3.0,16635000.0,15787739.0,9th Standard,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,Shimoga,M,50,IND,GEN,199358,143556,34271,23.87,FK5kxTLg,2013,Secondary Education
2271,Chincholi,Sandeep Chawan,0.0,3700000.0,,"B.E, Engineering, Vishweshwarayya Technological University, Belagam, 2012",Retired govt. school master,govt. employee,Education / Academia,Politics / Public Service,Gulbarga,M,26,IND,SC,169337,112983,1288,1.14,fYX45Muo,2013,Graduate
2272,Athani,Sanganagouda Gurupadagouda Patil,0.0,14707517.0,280000.0,B.Sc in 1974 from KUD Dharwad,Farming,Govt. Servant,Agriculture / Farming,Politics / Public Service,Belgaum,M,61,KJP,GEN,186167,146290,1580,1.08,bfk4UEb8,2013,Graduate
2273,Hungund,Saim Khajesab Husenasab,0.0,258000.0,,1996-97,electrician,house wife,Cound't Classify,Not Given,Bagalkot,M,37,BSP,GEN,191972,137024,847,0.62,dPxcJaLo,2013,Unknown
2274,Jamkhandi,Sangamesh. Kamble,0.0,2325000.0,,"delhi university,2012",contractor,house wife,Construction / Real Estate,Not Given,Bagalkot,M,27,BSP,GEN,176718,131750,1076,0.82,TzNhH4rr,2013,Unknown
2275,Koppal,Sanganna Amarappa Karadi,1.0,11875000.0,2798000.0,SSLC,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,Koppal,M,59,BJP,GEN,205255,151417,54274,35.84,CsPg9Xk9,2013,Higher Secondary Education
2276,Hungund,Sangappa Goudra H,0.0,4800000.0,,SSLC in 1995,agriculturist,HOUSE WIFE,Agriculture / Farming,Not Given,Bagalkot,M,29,BSRC,GEN,191972,137024,529,0.39,dWwJgEPc,2013,Secondary Education
2277,Gulbarga Dakshin,Sandeep. S. Patil,0.0,32000.0,15000.0,"B.Com (MBA) from Nutan vidyalaya degree college, Gulbarga 2004",Bussiness,Not Given,Business / Entrepreneurship,Cound't Classify,Gulbarga,M,31,IND,GEN,211956,117303,292,0.25,LZ2Jau7E,2013,Graduate
2278,Hassan,Salim Khan Gorur,2.0,1735000.0,20000.0,SSLC,Business,HOUSE WIFE,Business / Entrepreneurship,Not Given,Hassan,M,43,BSRC,GEN,188414,131059,213,0.16,ZaGZth6T,2013,Secondary Education
2279,Babaleshwar,Sangappa Gurappa Indi,0.0,2325694.0,390000.0,"7th std,khagoda govt primary school,1958",Agriculture,"agriculture,house wife",Agriculture / Farming,Agriculture / Farming,Bijapur,M,68,IND,GEN,184083,134348,751,0.56,Ao8mVwUf,2013,Primary Education
2280,Gurmitkal,Sanjivkumar Madival,0.0,1550000.0,150000.0,"SSLC,1994-95,govt high school,kalamudu",LIC agent,Not Given,Banking / Finance,Cound't Classify,Yadgir,M,33,KMP,GEN,203045,129030,804,0.62,5F8SJYqQ,2013,Higher Secondary Education
2281,Belgaum Rural,Sanjay B Patil,2.0,74108226.0,9313543.0,"Diploma in Automobile Engineering, 1993-94, Gomatesh Poly Technic Belgaum",Social Worker,Fashion Designer,Social Work / Activism,Arts / Entertainment,Belgaum,M,44,BJP,GEN,205568,152059,38322,25.2,a6TCSxCk,2013,Diploma Holder
2282,Nagthan,Sanjeev Pundlik Mane,0.0,170000.0,,"LLB,anjumana law college,vijapura",lawer,lawer,Law / Judiciary,Law / Judiciary,Bijapur,M,34,IND,SC,225624,140024,1278,0.91,6AF6RLaj,2013,Graduate
2283,Haveri,Sanjayagandhi Puttappa Sanjeevannanavar,0.0,200000.0,37575.0,"BA,MA LLB in 2009-10",Social Service,No,Social Work / Activism,Cound't Classify,Haveri,M,31,IND,SC,198638,150469,1207,0.8,idy7qPCr,2013,Postgraduate
2284,Puttur,Sanjeeva Matandoor,0.0,8704067.0,1445354.0,B.Com In Swamy Veveekananda College at Mangalore University,Agriculturist,House wife,Agriculture / Farming,Not Given,Dakshina Kannada,M,52,BJP,GEN,179600,142808,62056,43.45,BAYBuvC9,2013,Graduate
2285,Karwar,Sanju Timmanna Nayak,0.0,242261294.0,253600.0,B.D.S. KLE DENTAL COLLEGE BELGAUM,DENTIST,HOUSE WIFE,Medicine / Healthcare,Not Given,Uttara Kannada,M,38,JD(S),GEN,205831,145439,1568,1.08,fL7LpJWX,2013,Doctorate
2286,Karwar,Sanjay Baburao Naik,0.0,867000.0,,BHAI KHUVARABHAI MARATI SCHOOL KARWAR IN 1977,PLUMBER,Not Given,Cound't Classify,Cound't Classify,Uttara Kannada,M,48,IND,GEN,205831,145439,880,0.61,G3bUufyg,2013,Primary Education
2287,Basavakalyan,Sanjay D Patawari,0.0,202953579.0,40634596.0,Diploma In Electrical Engineering During The Year November 1995 From Govt Polytechnic College Board Of Technical Education Bangalore Karnataka,Social Service,Contractor,Social Work / Activism,Consulting / Advisory,Bidar,M,50,BJP,GEN,198007,126172,17431,13.82,7bQWjUrX,2013,Diploma Holder
2288,Sakaleshpur,Sanjay Babu V.,0.0,1843500.0,,Bsc banglore univercity 2011,farmer,house wife,Agriculture / Farming,Not Given,Hassan,M,36,IND,SC,181602,140486,2069,1.47,o3Cw5kZW,2013,Graduate
2289,Molakalmuru,Sanna Maranna,0.0,805000.0,425000.0,3 rd standard,Not Given,Not Given,Cound't Classify,Cound't Classify,Chitradurga,M,42,IND,ST,207158,164413,1536,0.93,XMeXgwzC,2013,Primary Education
2290,Periyapatna,Sannamogegowda,0.0,6366200.0,100000.0,B.Com From Mysore Banumaiyya College-1977,Agriculturist Social Worker,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,Mysore,M,52,BJP,GEN,162480,136307,3731,2.74,6kxW58Bd,2013,Graduate
2291,Hassan,Santosh.U.R.,0.0,20000.0,260000.0,"MBA,VVIET , Mysore, VTU university, belgam",Unemployee,Not Given,Cound't Classify,Cound't Classify,Hassan,M,29,IND,GEN,188414,131059,572,0.44,YpG2fmZc,2013,Postgraduate
2292,Madikeri,Santhosh Kumar M.V. (Yash),0.0,15000.0,,"BAL,LLB,JSS law college,mysore university, 2013-May-june",Nt given,Not Given,Cound't Classify,Cound't Classify,Kodagu,M,32,IND,GEN,202851,153856,681,0.44,e2FgqeDU,2013,Graduate
2293,Padmanaba Nagar,Santosh .G.,0.0,3916138.0,,"swami vivekananda school ,bangalore 1993",fabrication,Not Given,Engineering / Technology,Cound't Classify,B.B.M.P(South),M,40,JD(U),GEN,219754,128353,203,0.16,8gXJPmbk,2013,Unknown
2294,Karwar,Santeesh Sail Krishna,6.0,664607591.0,341097550.0,B.Sc.Govt.Arts Science College,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,Uttara Kannada,M,45,IND,GEN,205831,145439,80727,55.51,J8tcSqJ9,2013,Graduate
2295,K.R.Pura,Sarala Bai,0.0,161000.0,,"9th pass,Shivaji nagar,bangalore",Not Given,Not Given,Cound't Classify,Cound't Classify,B.B.M.P(North),F,40,IND,GEN,339784,200184,97,0.05,TqJ8wji9,2013,Secondary Education
2296,Haveri,Sanjaya Dange,0.0,7330000.0,1400000.0,"MBBS,DVD in 1996-97 From Mysore University and Karnataka University",Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare,Haveri,M,46,IND,SC,198638,150469,839,0.56,g44oKHoN,2013,Doctorate
2297,Ramdurg,Sangayya Panchakatimath,0.0,35315018.0,,SSLC in R M G HIGH SCHOOL,BISSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,Belgaum,M,50,KJP,GEN,172341,129132,16043,12.42,hzShQpyi,2013,Higher Secondary Education
2298,Kalghatgi,Santhosh Lad,0.0,1864009320.0,140587660.0,B.com from SES College Sandur Taluk Bellary District in the year 1996,Business,House wife,Business / Entrepreneurship,Not Given,Dharwad,M,38,INC,GEN,168350,131588,76802,58.37,Tes3FtjC,2013,Graduate
2299,Basavakalyan,Sardar Khan,0.0,2191000.0,,PUC,"Agriculture,Business Social Work",Household,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Not Given,Bidar,M,49,WPOI,GEN,198007,126172,2742,2.17,KkaHxogp,2013,Higher Secondary Education
2300,Gulbarga Rural,Satish Basavaraj Shinde,0.0,150000.0,,SSLC,Socal Service,House wife,Social Work / Activism,Not Given,Gulbarga,M,28,IND,SC,211123,123418,1426,1.16,mC69aZDU,2013,Secondary Education
2301,Gurmitkal,Sathyanarayana Yadav,0.0,5285000.0,753461.0,"BA fail,1882-83,gulbarga university,gulbarga",agriculter,house wife,Agriculture / Farming,Not Given,Yadgir,M,54,SP,GEN,203045,129030,1277,0.99,iRGSuUme,2013,Literate
2302,Bellary City,Sarmas Bee,0.0,5489281.0,3300000.0,Unknown,house wife,business,Not Given,Business / Entrepreneurship,Bellary,F,38,IND,GEN,194202,119471,412,0.34,THwfCx8g,2013,Unknown
2303,Yelahanka,Saritha .S.S,0.0,2057362.0,,M.B.A. -HR 2010,Self Employed meditation teacher,Civil engineer,Arts / Entertainment,Engineering / Technology,Bangalore Urban,F,36,PPOI,GEN,293238,196147,504,0.26,Ncf8v6gE,2013,Postgraduate
2304,Karwar,Satish Ganapati Ulvekar,0.0,244209.0,50000.0,"govt. high scool, Karwar (April 1995)",fishing trol boat (fisherman),Not Given,Agriculture / Farming,Cound't Classify,Uttara Kannada,M,37,IND,GEN,205831,145439,341,0.23,GGLPxCZT,2013,Higher Secondary Education
2305,Chitradurga,Sathish,0.0,7160000.0,1460000.0,"Bsc,govt science college,chitradurga,1984-85",Contractor,house wife,Consulting / Advisory,Not Given,Chitradurga,M,50,IND,GEN,225280,163365,1993,1.22,LYmbetLm,2013,Graduate
2306,Gadag,Satyappanavar Bimappa Goneppa,0.0,1050000.0,,"5th std , Govt primary school,gadag",Not Given,Not Given,Cound't Classify,Cound't Classify,Gadag,M,73,IND,GEN,191106,136314,1062,0.78,Fp9HmqWC,2013,Primary Education
2307,Babaleshwar,Sattigera Basayya Mallayya,0.0,2751000.0,150000.0,"5th std,govt boys school,honavada",Shethki,House wife,Cound't Classify,Not Given,Bijapur,M,47,JD(U),GEN,184083,134348,297,0.22,gnZAcaM2,2013,Primary Education
2308,Chiknayakanhalli,Sathish Sasalu,0.0,2840000.0,700000.0,M.A,self employed,Homemaker,Business / Entrepreneurship,Not Given,Tumkur,M,33,INC,GEN,198417,160826,10344,6.43,9BcqEPZe,2013,Postgraduate
2309,Chintamani,Sathyanarayana Mahesh,1.0,8865000.0,,"R.B.V., 1984. B.Com 1996, M.A. 1990, Bangalore University Bangalore",SOCIAL SERVICE,HOUSE WIFE,Social Work / Activism,Not Given,Chikkaballapur,M,47,BJP,GEN,186465,158113,1911,1.21,FwLdSF5X,2013,Postgraduate
2310,Hubli-Dharwad Central,Sayad Salauddin Sayad Gouse Mulla,0.0,950000.0,,SSLC 1987 anglo urdu higher secondary school hubli,private job,Teacher,Cound't Classify,Education / Academia,Dharwad,M,41,IND,GEN,212179,117311,588,0.5,Gc9Y5qyH,2013,Higher Secondary Education
2311,Yeshvanthapura,Seetharamu,1.0,412900.0,300000.0,"Sri siddaganga rural high school raghuvanahalli , kanakpura road bangalore 560062 1987-88",Private business and agriculture,no,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,Bangalore Urban,M,41,IND,GEN,349639,231515,682,0.29,FeKZutVb,2013,Higher Secondary Education
2312,Dharwad,Seema Masuti,1.0,27306891.0,8362823.0,Unknown,sociol work,bussince,Social Work / Activism,Business / Entrepreneurship,Dharwad,F,41,BJP,GEN,183561,133018,16896,12.7,Lpr4L855,2013,Unknown
2313,Shiggaon,Sayed Azimpeer Khadri,0.0,2654807.0,3929818.0,Govt.Majida PU College,AGRICULTURE Business,HOUSE WIFE,"Agriculture / Farming, Business / Entrepreneurship",Not Given,Haveri,M,49,INC,GEN,188396,150102,63504,42.31,57gFAnNJ,2013,Unknown
2314,Chintamani,Seethappa.V,0.0,642000.0,,SSLC in 1982 and 1st PUC in 1982-83 Pu Board Bangalore,"Lawyer, Agriculture",House Wife,"Law / Judiciary, Agriculture / Farming",Cound't Classify,Chikkaballapur,M,51,BSP,GEN,186465,158113,232,0.15,h44ZoQdM,2013,Higher Secondary Education
2315,Honnali,Sayedaghouse H.P,0.0,150000.0,400000.0,"LLB,national law college,shimoga 1992-93",Lawyer,Not Given,Law / Judiciary,Cound't Classify,Davangere,M,48,IND,GEN,174516,149119,1435,0.96,8NjUkYPQ,2013,Graduate
2316,Mandya,Sayeed Ulla Shariff,0.0,300000.0,,SSLC MUNSIPLE HIGH SCHOOL MANDYA,BISSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,Mandya,M,43,BSRC,GEN,222941,152818,223,0.15,GPa5hbkG,2013,Higher Secondary Education
2317,Bidar,Sayed Haji Pasha,0.0,25799.0,,PUC I Year (Arts) in 1997 from Al-Ameen Pre-University College,Business,Not Given,Business / Entrepreneurship,Cound't Classify,Bidar,M,35,IND,GEN,190262,112971,288,0.25,2Uom9wUn,2013,Higher Secondary Education
2318,Yemkanmardi,Satish Laxmanarao Jarakiholi,0.0,630518613.0,64075834.0,"P.U.C. from J.S.S. Art's, Science Commerce College Gokak in the year 1981",Agriculturist Business,Agriculturist Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",Belgaum,M,50,INC,ST,162258,124560,70726,56.78,AyZGDumq,2013,Higher Secondary Education
2319,Basavakalyan,Shahajirao,0.0,2100513.0,355000.0,"PUC in 1986 from Amareshwar P.U.College,Aurad-B Dist Bidar","Teacher in Private aided School,Dharam Prakash Higher Primary School,Basavakalyan",Not Given,Education / Academia,Cound't Classify,Bidar,M,47,IND,GEN,198007,126172,896,0.71,jn5DkT3E,2013,Higher Secondary Education
2320,Hebbal,Shabeer Pasha,0.0,6929000.0,3300000.0,S.S.L.C fail(1986-1987),Business(golden gym),Beauty parlour business,Business / Entrepreneurship,Arts / Entertainment,B.B.M.P(North),M,41,IND,GEN,210497,115540,721,0.62,epeB8DWd,2013,Secondary Education
2321,Babaleshwar,Shakil M Maniyar,0.0,1990716.0,824767.0,M.A. PANGAL ANGLO URDU HIGH SCHOOL SOLAPUR IN THE YEAR 1979,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,Bijapur,M,50,BSRC,GEN,184083,134348,342,0.25,6fiygqRY,2013,Postgraduate
2322,Gurmitkal,Shaik Mahboob,0.0,7230000.0,1425000.0,"SSLC,govt high school,1991",agriculter and business,house wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,Yadgir,M,42,IND,GEN,203045,129030,4432,3.43,3JZMNeww,2013,Secondary Education
