,constituency,name,cases,assets,liabilities,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category,uuid,Year,education_category
2281,Haliyal,Sunil Venkatesh Hegade,5.0,23259420.0,8512013.0,"B.E. MECHANICAL (2 SEM INCOMPLETE ) FROM B.V.B COLLEGE, HUBBALLI, YEAR-1985, AND P.U.C COMPLETED FROM BANGOORA CITY DANDELI P.U COLLEGE, YEAR- 1983",Uttara Kannada,"OWN SOCIAL SERVICE PARTNERSHIP,MADRAN STOSE,RICE MILL, GAJANANA COMMERCIAL AND CONSTRUCTION ,","OWN SOCIAL SERVICE PARTNERSHIP,MADRAN STOSE,RICE MILL, GAJANANA COMMERCIAL AND CONSTRUCTION ,",Social Work / Activism,Social Work / Activism,53.0,M,BJP,56437,42.53457436786374,GEN,bv9FDppg,2018,Higher Secondary Education
2282,Mangalore City South,Supreeth Kumar Poojary,0.0,1321000.0,,"SSLC from St. Aloysius High School, Mangalore, Diploma in Electronics (ITI) from St. Aloysius College, Mangalore",Dakshina Kannada,Electronic Service and Social Service,Not Given,"Engineering / Technology, Social Work / Activism",Cound't Classify,41.0,M,HJP,69,0.042231022051938,GEN,eYRkbbbV,2018,Diploma Holder
2283,Kumta,Suraj Naik Soni,6.0,12177546.0,7810226.0,"BSc from Dharward KUD and PGDCA, Karnataka University Dharwad Year 1992",Uttara Kannada,Employee,Handcraft Work,Cound't Classify,Arts / Entertainment,47.0,M,IND,20474,14.006307421824228,GEN,mtw9N3Ve,2018,Graduate
2284,Bidar,Surayakanth Nagmarpalli,0.0,341212086.0,,PUC from MES College Bengaluru,Bidar,Active Politician,House Wife,"Politics / Public Service, Social Work / Activism",Cound't Classify,49.0,M,BJP,63025,44.81841519523833,GEN,N3EzJCWg,2018,Higher Secondary Education
2285,Sedam,Sunita,0.0,13920000.0,1600000.0,"BA Bed,Year -2006",Gulbarga,Not Given,Govt Worker,Cound't Classify,Unknown,34.0,F,JD(S),2075,1.308570347480608,GEN,AWtYxHbu,2018,Graduate
2286,Hebbal,Suresh B S,0.0,4167970876.0,416925397.0,"PUC (Pre University Course) from National College, Bangalore Year 991",B.B.M.P(North),Agriculturist and Land Lord,Business,Agriculture / Farming,Business / Entrepreneurship,46.0,M,INC,74453,50.75533437862158,GEN,eJbfSZDR,2018,Higher Secondary Education
2287,T.Narasipur,Surendranath C.P.,0.0,1740600.0,,"M.A from Manasa Gangothri, Mysore Year 2013-14",Mysore,Politican and Agriculture,House wife,"Politics / Public Service, Agriculture / Farming",Not Given,38.0,M,IND,470,0.302667336398645,SC,G88B7sP4,2018,Postgraduate
2288,Gokak,Suresh Baburao Patil,0.0,3240939.0,,SSLC 1968,Belgaum,Social worker,Household work,Social Work / Activism,Not Given,68.0,M,IND,656,0.3770548338889527,GEN,8AczwDzs,2018,Higher Secondary Education
2289,Raybag,Suresh Bhimappa Hosamani,1.0,1982000.0,22000.0,"9th Standard in Junnediya High School, Kudachi.",Belgaum,Social Service,Housewife,Social Work / Activism,Education / Academia,48.0,M,SHS,234,0.1555861408652983,SC,akRfAGCr,2018,Secondary Education
2290,Mangalore City North,Supreeth Kumar Poojary,0.0,1321000.0,,"S.S.L.C- From 993, St. Aloysius High School , Mangalore Diploma in Electronics (I.T.I), St. Aloysius College Mangalore",Dakshina Kannada,Electronic Service and Social Service,Not Given,"Engineering / Technology, Social Work / Activism",Cound't Classify,41.0,M,LAD,260,0.1476400308908372,GEN,as7EpKHf,2018,Diploma Holder
2291,Kudachi,Surendra Ugare,3.0,9009461.0,900000.0,"M.A, L.L.B, Diploma in Epigraphy",Belgaum,"Lawyer, Social Worker, Journalism",Designer and House Wife,"Law / Judiciary, Social Work / Activism, Media / Journalism",Cound't Classify,42.0,M,BMUP,184,0.1346476111025737,SC,ik6c7QVE,2018,Postgraduate
2292,Sindhanur,Suresh Gouda Mundinamane,0.0,5740000.0,100000.0,5TH PASS,Raichur,Tenacity,Not Given,Cound't Classify,Cound't Classify,38.0,M,IND,794,0.4857338618900798,GEN,JgHSE4UW,2018,Primary Education
2293,Ramanagaram,Surendra Ramanagara,0.0,285000.0,,"B.A from Govt. First Grade College, Kuvempunagar, Mysore Year 2007",Ramanagaram,Agriculture,House wife,Agriculture / Farming,Not Given,37.0,M,IND,469,0.2732272271805746,GEN,6acz9Fq8,2018,Graduate
2294,Mulbagal,Suresh N,0.0,325000.0,,SSLC,Kolar,Wages,HOUSE WIFE,Cound't Classify,Not Given,25.0,M,IND,101,0.061401908930634,SC,2JK6nAr8,2018,Secondary Education
2295,Nelamangala,Suresh Rathod,0.0,2150000.0,800000.0,"Bachelor of Computer Application, at Dharwad University",Bangalore Rural,Software Engineer,House wife,Information Technology,Not Given,36.0,M,IND,352,0.218044414160498,SC,9JUJXciJ,2018,Graduate
2296,Byndoor,Suresh Kallagar,0.0,1131988.0,120000.0,"1994-95,Govt.High school and college ,kundapura",Udupi,Social Service,Housewife,Social Work / Activism,Education / Academia,37.0,M,CPM,2415,1.3665221868881772,GEN,Wakw9FQy,2018,Unknown
2297,Kittur,Suresh Shivarudrappa Marihal,0.0,29448608.0,3200000.0,"S.S.L.C From S.G High School , Kittur , Year-1977",Belgaum,AGRICULTURIST,HOUSE WIFE,Agriculture / Farming,Not Given,57.0,M,JD(S),3755,2.528415212238741,GEN,dAjfPQY2,2018,Secondary Education
2298,Kudachi,Suresh Talawar,0.0,20479970.0,21295335.0,"M A, M Phil, from KUD Dharwad",Belgaum,Job andTenacity and Social work,Job,Social Work / Activism,Unknown,45.0,M,IND,6731,4.925614512670779,SC,k2GowCgD,2018,Postgraduate
2299,Chintamani,Suresh Y N,0.0,400000.0,,10th Passed During the year 2004,Chikkaballapur,Businessman,Not Given,Business / Entrepreneurship,Cound't Classify,31.0,M,RMVP,359,0.1986080837362661,GEN,RGbxUyxX,2018,Secondary Education
2300,Shrirangapattana,Suresh V,0.0,2114000.0,375000.0,"Diploma,1988 89,Govt. Polytecnical,K.R.Pete",Mandya,Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,52.0,M,AIMEP,205,0.116045399224477,GEN,mNEKbENh,2018,Diploma Holder
2301,Chamarajanagar,Suresha B N,0.0,666520.0,,"SSLC-Kristharaja Balarapattna,Year-1998;PU -Govt PU College,Year-2000",Chamarajnagar,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia,36.0,M,IND,540,0.3231385127250749,GEN,itA9WR2V,2018,Higher Secondary Education
2302,Mangalore City North,Suresh.B.Salian,0.0,6523000.0,200000.0,SSLC,Dakshina Kannada,Salon,House Wife,Arts / Entertainment,Cound't Classify,47.0,M,ABHM,303,0.1720574206150911,GEN,de8Zotnt,2018,Higher Secondary Education
2303,Hosakote,Suresha C,0.0,3048000.0,,"B.A From Arts Science College, V.V.Puram, Bangalore In 2001-04 and L.L.B. From Arunodaya Institute of Legal Studies, Mariyappanapalya, Bangalore In 2010",Bangalore Rural,Lawyer,Not Given,Law / Judiciary,Cound't Classify,35.0,M,IND,184,0.0953017283797152,GEN,jKGntLgf,2018,Graduate
2304,Bommanahalli,Sushma Rajagopal Reddy,0.0,304514024.0,88131996.0,Marigudi Govt School shirasi 1-7th grade Marikamba High School 8th-grade-10th grade MM Arts And Science College,B.B.M.P(South),"Agricultiure and social service, Business","Agriculture,Business,social service","Agriculture / Farming, Social Work / Activism, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",48.0,F,INC,64701,33.09344790547798,GEN,89SYUrbT,2018,Secondary Education
2305,Bommanahalli,Sushma Sandeep,0.0,2143724.0,,"M.COM (Correspondence) From K.S.O.U University,In the Year-2014-2015",B.B.M.P(South),Private Employee,Business,Business / Entrepreneurship,Business / Entrepreneurship,25.0,F,IND,460,0.2352820827579152,GEN,DGN44VP3,2018,Postgraduate
2306,Gulbarga Dakshin,Suryakant Nimbalkar,2.0,2506794.0,,"B.A From Manyavar Dadasaheb Kanshiram Degree College Kusnoor Gulbarga From Gulgarga University, Gulbarga In 20163",Gulbarga,Social Worker,House Wife,Social Work / Activism,Cound't Classify,47.0,M,BSP,1853,1.2835787811196853,GEN,28QzzQir,2018,Graduate
2307,Koppal,Sureshgouda Somanagouda Patil,0.0,694382.0,340000.0,SSLC 2009 Sideshwara High School,Koppal,Agriculture,Household work And Agriculture,Agriculture / Farming,"Social Work / Activism, Agriculture / Farming",41.0,M,IND,359,0.198581717206359,GEN,Vt8Nf226,2018,Higher Secondary Education
2308,Pulakeshinagar,Susheela Devaraj,0.0,6912000.0,,"SSLC ,Govt.HIGH SCHOOL,DIPLOMA SGC COLLEGE ,BA( INCOMPLETE ),BENGALURU",B.B.M.P(North),social service,Not Given,Social Work / Activism,Cound't Classify,64.0,F,BJP,9479,7.497310807390535,SC,EwXCwD9a,2018,Diploma Holder
2309,Bommanahalli,Sushma Ramesh,0.0,69371950.0,,"B.COM Graduate From Joythi Nivas College, Bangalore ,Passed In The Year-2004-2005",B.B.M.P(South),House wife,Social Service And Business,Not Given,"Social Work / Activism, Business / Entrepreneurship",32.0,F,IND,576,0.2946140862359982,GEN,Gg7gY5hs,2018,Graduate
2310,Chincholi,Sushilabai Basavaraj,0.0,7840000.0,,"Has completed Puc in Govt. Pre university college Chandapura Chincholi Taluk, Kalburgi Dist (1991) and T.C.H in Asha Jyothi Institute Gulbarga (1995)",Gulbarga,Retired Teacher,R. S. I Police Department (Late),Not Given,"Law Enforcement / Security, Sports / Athletics",59.0,F,JD(S),1621,1.2188153205311358,SC,GrpvBPYM,2018,Higher Secondary Education
2311,Nagamangala,Sureshgowda,2.0,211766700.0,41337831.0,"B.E. from PES College, Mandya, Mysore University (1987-88)",Mandya,Agriculturist,Assistant Professor of Economics,Agriculture / Farming,"Education / Academia, Consulting / Advisory",54.0,M,JD(S),112396,61.93572562158349,GEN,4x5e4tEU,2018,Graduate
2312,Kalghatgi,Suvarna Govindroa Kulakarni,0.0,3650000.0,,"BA KITAL KALA UNIVERSITY DHARWAD 1989, LLB SPECIAL KARANATAKA KANUNU UNIVERSITY DHARWAD 1994-95",Dharwad,Lawyer And Agriculture,Not Given,"Law / Judiciary, Agriculture / Farming",Cound't Classify,50.0,F,JANSAMAP,294,0.1935458387644665,GEN,KLhWrsm3,2018,Graduate
2313,Gulbarga Dakshin,Syed Abdul Bari,0.0,14677449.0,1150000.0,"PUC Passed Pre-University Examination from National Pre-University College, Haft Gumbad Gulbarga Under Pre University Board Karnataka, Bangalore",Gulbarga,Fabrication Business,House Wife,Business / Entrepreneurship,Cound't Classify,58.0,M,WPOI,252,0.1745611726077499,GEN,2VrnYQN8,2018,Higher Secondary Education
2314,Chintamani,Syed Aleem Pasha,0.0,70000.0,,SSLC Failed during the year 1993,Chikkaballapur,Driver,"Home Maker, House Wife",Transportation / Logistics,Not Given,42.0,M,ANC,151,0.0835371048584295,GEN,aFuhzrUd,2018,Secondary Education
2315,Belgaum Uttar,Suvarna P Dodamani,0.0,4850957.0,,"9th pass from D.Y.Chougale, Bharatesha High school Belagavi in 1992",Belgaum,Self Employed,Business,Business / Entrepreneurship,Business / Entrepreneurship,41.0,F,SJPL,263,0.1783945844016659,GEN,ZQKtSmNL,2018,Secondary Education
2316,Bidar,Swamidas,0.0,462000.0,,"PUC,Pre University College,Bangalore,2005",Bidar,Business,Housewife,Business / Entrepreneurship,Education / Academia,31.0,M,DRAPP,182,0.1294240629200059,GEN,nn9AHsSJ,2018,Higher Secondary Education
2317,Aland,Swami Shivayya,0.0,405000.0,100000.0,"PUC From Govt.PU College, Aland",Gulbarga,Agriculture,House wife,Agriculture / Farming,Not Given,48.0,M,IND,808,0.5030851322155048,GEN,WLacXbLW,2018,Higher Secondary Education
2318,K.R.Pura,Syed Afzal Hussain,0.0,50000.0,,"7th std,",B.B.M.P(North),Self-Employed,Housewife,Unknown,Education / Academia,34.0,M,IND,147,0.0578753828830602,GEN,JnFaZLRR,2018,Primary Education
2319,Gangawati,Sy Jarina Sy Mukaramraza,0.0,412348.0,,"9th Class Govt.Urdu High School, Arab mohalla Raichur-1990-91",Koppal,Business,High School Teacher,Business / Entrepreneurship,Education / Academia,44.0,F,IND,146,0.0991356188846563,GEN,A39Lv6ih,2018,Secondary Education
2320,Chamrajpet,Syed Aslam,0.0,244000.0,,SSLC From Farooquie boys High School Mysore Karnataka,B.B.M.P(Central),Cloth Merchant,House Wife,Unknown,Cound't Classify,46.0,M,AIMEP,74,0.0615594506234974,GEN,XnxkUek6,2018,Higher Secondary Education
2321,Shivajinagar,Syed Jaffar,0.0,929000.0,,7th Grade Khuwathul Islam at Shivajinagar Bangalore,B.B.M.P(Central),Automobile Garage,Housewife,Engineering / Technology,Education / Academia,47.0,M,AIMEP,104,0.0958225072327565,GEN,GvmSA3fo,2018,Primary Education
2322,Gulbarga Uttar,Syed Imran Syed Abdul Raheman,0.0,40000.0,,"9th Standard Pass From Defodils school Darga Road, Gulbarga",Gulbarga,Labour,Hoosehold,Cound't Classify,Not Given,27.0,M,IND,450,0.3029242285529646,GEN,iFhV9bX6,2018,Secondary Education
2323,Chitradurga,Syed Ismail,0.0,427500.0,,5th pass,Chitradurga,SOCIAL WORKER,House Wife,Social Work / Activism,Cound't Classify,41.0,M,AIMEP,184,0.0971704390625165,GEN,gxbmJGvC,2018,Primary Education
2324,Shanti Nagar,Syed Asif Bukhari,0.0,235000.0,,B.A. From C.V. Raman University Year 2016,B.B.M.P(Central),Tea Maker,House Wife,Unknown,Cound't Classify,45.0,M,IND,141,0.116125844177236,GEN,9cXKqpsL,2018,Graduate
2325,Chickpet,Syed Iqbal,0.0,465520000.0,25000000.0,SSLC From Govt. Urdu School in Mothinagar Bangalore in the year 1978,B.B.M.P(Central),"Real estate, Cinema Actor-cum producer",House Wife,"Construction / Real Estate, Arts / Entertainment",Cound't Classify,55.0,M,IND,81,0.062829661805771,GEN,9xjXo3kR,2018,Higher Secondary Education
2326,Hunsur,Syed Gafur,0.0,1114500.0,660000.0,"SSLC From Malnad Kannada High School, Nallurapala, Hunasuru Taluk Year 1997",Mysore,Agriculture,House wife,Agriculture / Farming,Not Given,39.0,M,AIMEP,129,0.06926992718603,GEN,5ep9rtwv,2018,Higher Secondary Education
2327,Bommanahalli,Syed Ismail,1.0,2027000.0,200000.0,"7th Standard Fail From Govt. School Bommanahlli, Bangalore, Year-1992-1993",B.B.M.P(South),Social Service and Real Estate,House Wife,"Social Work / Activism, Construction / Real Estate",Cound't Classify,38.0,M,IND,347,0.1774845276456447,GEN,hittYJ3w,2018,Primary Education
2328,Honnali,Syed Gouse H P,0.0,107000.0,360000.0,"B.Com in National Commerce Collage Shimoga,(1983-84) and LLB in National Law Collage Shimoga (1992-93).",Davangere,Lawyer,Nothing,Law / Judiciary,Not Given,43.0,M,IND,457,0.2823305553324643,GEN,eBpPHmkq,2018,Graduate
2329,Gandhi Nagar,Syed Kareem,2.0,23321000.0,,"4TH STANDARD FROM GOVT. SCHOOL RAMACHANDRAPURA, BENGALORE",B.B.M.P(Central),CERAMIC AND SCRAP BUSINESS,Not Given,Business / Entrepreneurship,Cound't Classify,48.0,M,SP,91,0.0717524147447269,GEN,HebjBJPD,2018,Primary Education
2330,Chintamani,Syed Ayub,0.0,49478.0,,"4th Pass, Govt.Urdu High School, Nekkundipete, Chintapani Nagar, Chikkaballapura Dist.",Chikkaballapur,Carpenter,House Wife,Cound't Classify,Cound't Classify,37.0,M,FCI,107,0.0591951670188871,GEN,Kga25TMD,2018,Primary Education
2331,Raichur,Syed Basha Qhadri,0.0,75000.0,,"Completed 9th Class in Gulabarga Di, Chincholli Tq, Kodli.",Raichur,Social Work,Housewife,Social Work / Activism,Education / Academia,42.0,M,IND,240,0.1937171084492945,GEN,9hBEPsNN,2018,Secondary Education
2332,Hebbal,Syed Kawja Wali Hydri,0.0,9015000.0,,"B.Com From AL Ameen College, Lal Bagh Fort Road, Bangalore",B.B.M.P(North),Self Business,House wife,Business / Entrepreneurship,Not Given,46.0,M,KPJP,129,0.0879405549117186,GEN,BYvd27ds,2018,Graduate
2333,Vijay Nagar,Syed Mujahid,0.0,914912.0,,5th sarkari pathameka school dooda sulikeri katagnpalya ramnagr passing date-1985-86,B.B.M.P(South),social work and business,House wife,"Social Work / Activism, Business / Entrepreneurship",Not Given,40.0,M,IND,351,0.2244188128180864,GEN,V9Whhkso,2018,Primary Education
2334,Raichur,Syed Masoom,2.0,800000.0,,Unknown,Raichur,"Social Work and Municipality Member Ward No- 30, Siyathlab, Raichur",Housewife,Social Work / Activism,Education / Academia,40.0,M,IND,1290,1.041229457914958,GEN,VxmmKHyV,2018,Unknown
2335,Chamrajpet,Syed Khadeer,0.0,12530000.0,,B.Com. Vidhyartha commerce and Law College Year 1985-88,B.B.M.P(Central),Self Employee,House wife,Unknown,Not Given,52.0,M,IND,56,0.0465855302015656,GEN,2bekyQDw,2018,Graduate
2336,Yelahanka,Syed Nadeem S,0.0,412000.0,25000.0,"PUC- Govt. Boys Padavi Poorva College, 18th Cross, Malleshwaram, Bangalore-2007-08",Bangalore Urban,Business,House Wife,Business / Entrepreneurship,Cound't Classify,35.0,M,AIMEP,342,0.1395149611438595,GEN,FaN77QoX,2018,Higher Secondary Education
2337,Bidar South,Syed Rafiulla,0.0,1699000.0,500000.0,"SSLC from Z.P.P high school ,Shamshabad -2006-07",Bidar,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,39.0,M,IND,555,0.3996054346339109,GEN,BLrC8kxC,2018,Higher Secondary Education
2338,Madhugiri,Syed Muzamil Pasha,0.0,1683653.0,521000.0,"SSLC from Sidharth Residential School, Madugiri, Year 1998-99",Tumkur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,34.0,M,KPJP,133,0.080091533180778,GEN,kQ7Xr4mN,2018,Higher Secondary Education
2339,Yelahanka,Syed Nijam Nizamuddin Shah Khadri,0.0,156460.0,8740.0,"Studied up to High School, Sarkari Padavi Poorva College, Yelahanka, Bengalore-64, yr 1997-98",Bangalore Urban,Self Employed,House Wife,Business / Entrepreneurship,Cound't Classify,34.0,M,FCI,137,0.0558875721541191,GEN,CcsG9aKF,2018,Secondary Education
2340,Chickpet,Syed Riyaz,0.0,784000.0,,PUC 2NDYEAR BANGALORE UNIVERSITY AL-AMEEN COLLEGE HOSUR ROAD LALBAGH ROAD BENGALORE-2001,B.B.M.P(Central),EMPLOYED,House Wife,Not Given,Cound't Classify,37.0,M,IND,64,0.0496431895749302,GEN,77Jnqhzu,2018,Higher Secondary Education
2341,Raichur,Syed Yasin,0.0,36744207.0,,M.sc M.A from karnataka university darwad in 1986,Raichur,Social worker,House wife,Social Work / Activism,Not Given,68.0,M,INC,45520,36.74167823588287,GEN,LXEGHw5P,2018,Postgraduate
2342,Jayanagar,Syed Zabi,0.0,7955000.0,,"BBA at V.M.R.F. University Salem Tamil Nadu, India",B.B.M.P(South),Real State and Furniture Business,House Wife,"Business / Entrepreneurship, Construction / Real Estate",Cound't Classify,,,All India Mahila Empowerment Party,60,,GEN,3FRsYHEb,2018,Graduate
2343,Shanti Nagar,T Dayal Kumar,0.0,75500.0,,SSLC from 515 Army Wort Shop High School in 1993,B.B.M.P(Central),Private Sector,House Wife,Business / Entrepreneurship,Cound't Classify,42.0,M,IND,183,0.1507165211661999,GEN,ZPcDDMFp,2018,Higher Secondary Education
2344,Kolar,Syed Zameer Pasha,1.0,81914500.0,,LLM from Bangalore University,Kolar,Social service and Retired IAS Officer,House Wife,"Social Work / Activism, Politics / Public Service",Cound't Classify,65.0,M,INC,38537,21.51678931558553,GEN,mEtfrunT,2018,Postgraduate
2345,Tarikere,T H Shivashankarappa,1.0,35237045.0,9109733.0,"B.com from SJM College, Tarikere, Year 1985-86 Mysore University",Chikmagalur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,56.0,M,JD(S),14574,9.74243447220124,GEN,UjqT8zSw,2018,Graduate
2346,Bidar South,Syed Rahamathulla Hussaini,0.0,270000.0,,MA.Arts College Usmaniya University College Hydrabad,Bidar,Social worker Agriculture,House wife,"Social Work / Activism, Agriculture / Farming",Not Given,48.0,M,IND,779,0.5608876280717418,GEN,5CPvmPaW,2018,Postgraduate
2347,Chickpet,Syed Shazad Ahmed,0.0,305200.0,,8TH FROM RBANMS AT BANGALORE,B.B.M.P(Central),REAL ESTATE,House Wife,Construction / Real Estate,Cound't Classify,40.0,M,IND,88,0.068259385665529,GEN,mgwprjsJ,2018,Primary Education
2348,Sringeri,T D Rajegowda,0.0,210165860.0,76900000.0,B.COM Hali mangalore universiry kundapura -1980,Chikmagalur,Landowner Ploter,Landowner Ploter,Construction / Real Estate,Construction / Real Estate,58.0,M,INC,62780,45.80709652470212,GEN,8fiAyqof,2018,Graduate
2349,Varuna,T Basavaraju,0.0,4038465.0,650000.0,"B Com, From-Mysore University , Year 1984-85",Mysore,Hotel Business,Teacher,Hospitality / Tourism,Education / Academia,56.0,M,BJP,37819,21.60493121886568,GEN,dZCPPaVP,2018,Graduate
2350,Chintamani,T C Venkateshreddy,0.0,166609000.0,7800000.0,"Diploma Passed at MVJ Polytechnic, Bangalore yr 1985",Chikkaballapur,Agriculturist Business man,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,55.0,M,IND,794,0.4392613328317419,GEN,eV7H5Lrn,2018,Diploma Holder
2351,Channapatna,T M Manchegowda,0.0,2167000.0,80000.0,"5th Pass From Government High School, Toutanahalli, Channapatna Taluk, Year 1958",Ramanagaram,Business,House wife,Business / Entrepreneurship,Not Given,73.0,M,IND,417,0.2206197457317751,GEN,HvEsQJC5,2018,Primary Education
2352,Hebbal,T Jaikumar,0.0,51660000.0,8300000.0,"B.Com, LLB",B.B.M.P(North),"Retired senior,AG'S office ,advocate","Retired,senior,accounts","Law / Judiciary, Not Given",Unknown,68.0,M,SHS,52,0.0354489058558865,GEN,ECrDNjcy,2018,Graduate
2353,Tirthahalli,T Muneer,0.0,1262807.0,300000.0,"SSLC ,Govt Pre-University College, Tirthahalli",Shimoga,Business,House Wife,Business / Entrepreneurship,Cound't Classify,42.0,M,IND,396,0.2523578893703798,GEN,MMUp4TPE,2018,Higher Secondary Education
2354,Mulbagal,T M Narayanaswamy,0.0,870000.0,,BA LLB FROM KENGAL HANUMANTHAPPA LAW COLLEGE K.G.F,Kolar,LAWYER,House Wife,Law / Judiciary,Cound't Classify,55.0,M,IND,757,0.4602103471335643,SC,ZPmFKiH3,2018,Graduate
2355,Bommanahalli,T R Prasad,0.0,9500000.0,4600000.0,BE Computer Science Adichunchanagiri Institute Of Technology Chikamagalur Mysore University 2003,B.B.M.P(South),"Proffesor in Thanish Institute,Indranagar,Bangalore",Housewife,"Education / Academia, Hospitality / Tourism",Education / Academia,49.0,M,JD(S),9379,4.797197074318449,GEN,2cEJJyv7,2018,Graduate
2356,Mulbagal,T R Manjunatha,0.0,3409000.0,900000.0,"B.Sc, B.D.S And M.D.S",Kolar,Dental Doctor,Not Given,Medicine / Healthcare,Cound't Classify,53.0,M,IND,304,0.1848136664842847,SC,NVtU5psb,2018,Doctorate
2357,K.R.Pura,Syed Taseen,0.0,3187015.0,800000.0,"10th.incomplete,Studied at Vikasa High School,Rammurthy Nagar,Bangalore and left School In the Year 2006-07",B.B.M.P(North),Poultry Business,N.A,Agriculture / Farming,Cound't Classify,29.0,M,AIMEP,196,0.0771671771774136,GEN,DhpzFqFa,2018,Unknown
2358,Mulbagal,T R Shekar,0.0,875000.0,,9th Standard.,Kolar,Agriculturist and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,48.0,M,IND,384,0.233448841874886,SC,2DYPVGst,2018,Secondary Education
2359,Kampli,T H Suresh Babu,7.0,161183241.0,122236598.0,"Bachelor of Engineering at Vijayanagar Engineering College, Visveswaraya Technological University in the year 2005",Bellary,Social Worker Politician,House wife,"Social Work / Activism, Politics / Public Service",Not Given,35.0,M,BJP,75037,45.268460424710426,ST,aEzrEqEe,2018,Graduate
2360,Challakere,T Raghumurthy,0.0,63746595.0,144081929.0,"B.E( civil ) from Govt B.D.T College, Davangere , Mysore University Year 1985, PUC from Govt Science College, Chitradurga Year 1981",Chitradurga,Agriculture and Social Service,House Wife and Business,"Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship,55.0,M,INC,72874,43.1207100591716,ST,fWsqxKon,2018,Graduate
2361,Bagepalli,T. Ramappa,0.0,20000.0,,Unknown,Chikkaballapur,labour,Labour,Cound't Classify,Cound't Classify,50.0,M,IND,300,0.1823397841096956,GEN,BoWmWZJ5,2018,Unknown
2362,Sira,T.B.Jayachandra,2.0,204037177.0,16167746.0,Bachelor of Laws From Vidyodaya Law College Tamkur Bangalore University In 1972,Tumkur,Social Work Non Practicing Advance,Agricultural,Social Work / Activism,Agriculture / Farming,68.0,M,INC,63973,35.48850574712644,GEN,hqTy924g,2018,Graduate
2363,Haliyal,T. R. Chandrashekhar Nair,0.0,35385211.0,300000.0,"XI th , From Vivekananad High School Pullad Kerla",Uttara Kannada,Civil Contractor,Not Given,Construction / Real Estate,Cound't Classify,76.0,M,IND,2629,1.9813844820439384,GEN,k3DXYM6i,2018,Higher Secondary Education
2364,Malavalli,T.C.Venkatesh,0.0,305000.0,,"PUC MUNICIPAL COLLAGE KANAKAPURA THALUK, BANGALORE GRAMANTHARA 1994",Mandya,BUSINESS,HOUSE WIFE,Business / Entrepreneurship,Not Given,43.0,M,RMVP,124,0.0636959034287915,SC,m5zLueBT,2018,Higher Secondary Education
2365,Doddaballapur,T.M.Venkataramanaiah,0.0,9325000.0,50000.0,Dpharma govt phamacy college subbayya circle bangalore,Bangalore Rural,Not Given,Not Given,Cound't Classify,Cound't Classify,61.0,M,KPJP,129,0.0764412735471713,GEN,8cjQbuED,2018,Diploma Holder
2366,Byatarayanapura,T S Prathap Kumar,0.0,269000.0,,"Bcom,1st Grade Government College,Chickballapur",Bangalore Urban,Agriculture,Housewife,Agriculture / Farming,Education / Academia,37.0,M,IND,102,0.0402035402764584,GEN,ZasQRKPC,2018,Graduate
2367,Tiptur,T. Shivanag,0.0,756360.0,50000.0,"BA From pallagatti adavappa arts and commerce college 19925-96,D F A Vijayafilm orgainsation rajajinagar ,bangalore -1996-97",Tumkur,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,46.0,M,IND,501,0.3305381636328849,GEN,gVrtkJS7,2018,Graduate
2368,Bagepalli,T. S .Somashekar,0.0,245000.0,,"B.COM Graduate From National College Bagepalli, In the Year-2007-08.",Chikkaballapur,Small Business,Not Given,Business / Entrepreneurship,Cound't Classify,32.0,M,IND,424,0.2577068948750364,GEN,Lr6dF7fp,2018,Graduate
2369,Doddaballapur,T Venkataramanaiah,0.0,189354272.0,22481700.0,"SSLC in 1980 from Govt. High school Doddabelamangala Village, Doddabalapura taluk, Bangalore rural district",Bangalore Rural,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,57.0,M,INC,73225,43.39079267822965,GEN,bqi9bmap,2018,Higher Secondary Education
2370,Mulbagal,T V Balakrishna,0.0,950000.0,40000.0,"BA.Government PU college ,Mulbagilu",Kolar,Agriculturist,Government School Teacher,Agriculture / Farming,Education / Academia,44.0,M,IND,367,0.2231138671043832,SC,gFkSBFUm,2018,Graduate
2371,Tiptur,T.N Kumaraswamy,0.0,868564.0,,"SSLC Fail Govt boys high school,Tiptur",Tumkur,Barber,Housewife,Unknown,Education / Academia,55.0,M,IND,3018,1.991146063560972,GEN,AVNrJNiT,2018,Secondary Education
2372,Malavalli,T.N.Satheesh Kumar,0.0,17200500.0,,10TH HAGALUR HIGHSCHOOL 1996,Mandya,AGRICULTURE,HOUSEWIFE,Agriculture / Farming,Not Given,37.0,M,IND,292,0.149993579041993,SC,o5URj3fN,2018,Secondary Education
