,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
2280,Kudligi,Srinivas N T,INC,47,0,159229538.0,30980000.0,Doctorates,"MD(Ophthalmology) - All India Institute of Medical science (AIIMS), New Delhi in 2004",ST,Bellary,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare
2281,Gauribidanur,Sreenivasa C V,Karnataka Rashtra Samithi,36,0,5808758.0,1605300.0,Higher Secondary Education,2nd PUC from A V N R Padavi Purva College Thondebhavi In 2006,GEN,Chikkaballapur,Agriculture Small Business,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given
2282,Karkal,Srikantha Poojary,JD(S),38,0,2647948.0,,Secondary Education,"7th Pass from Govt. Higher Primary School, Kuchur in 2000",GEN,Udupi,Auto Rikshaw Driver Come Owner,Not Given,Transportation / Logistics,Cound't Classify
2283,Sidlaghatta,Srinatha A,IND,39,0,8809000.0,190000.0,Secondary Education,SSLC sri venkateshwara high school dibburahalli siddalgatta talok,GEN,Chikkaballapur,Self Employee,House wife,Unknown,Not Given
2284,Nanjangud,Srikanta,BSP,52,0,7642000.0,,Secondary Education,SSLC from Govt.College Nanjangud 1989,SC,Mysore,CONTRACTOR,HOUSE WIFE,Construction / Real Estate,Not Given
2285,Sedam,Srinivas Boini,Jana Spandana Party,28,0,1668000.0,,Graduates,B.E from PDA College of Engineering Kalburgi VTU University Belagavi in 2018,GEN,Gulbarga,Business,No,Business / Entrepreneurship,Cound't Classify
2286,Basavanagudi,Sri Yogesh,IND,39,0,1730000.0,,Higher Secondary Education,PUC Government Pre University College Nagamangala Taluk Mandya District in 2001-02,GEN,B.B.M.P(South),Contractor,House Wife,Consulting / Advisory,Cound't Classify
2287,Kudligi,Srinivas. N.,AAP,40,0,40095137.0,21522793.0,Higher Secondary Education,II PUC Govt Composite Pre University College Bellary 2005,ST,Bellary,Self Employed (Business),Self Employed (Business),Business / Entrepreneurship,Business / Entrepreneurship
2288,Nelamangala,Srinivas V,IND,47,0,50000.0,,Higher Secondary Education,"JOC Surveying from Nelamangala Junior College, Nelamangala in 2002, PUC from Govt. Pre Graduate College Tyamagondlu in 2018",SC,Bangalore Rural,Social service,Housewife,Social Work / Activism,Education / Academia
2289,Bellary City,Sridhar.K,IND,35,0,3131484.0,,Postgraduates,Master of Business Applications (MBA) from Davanagere University in 2012,GEN,Bellary,Business and Agriculture,House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given
2290,T.Narasipur,Srinivasa,Indian Movement Party,49,0,355000.0,,Secondary Education,SSLC from Govt. Public School Mullur in 1989,SC,Mysore,DRIVER,HOUSE WIFE,Transportation / Logistics,Not Given
2291,Pavagada,Srinivasapurada Srinivasa Babu,IND,38,0,31500.0,73000.0,Diploma Holders,"Diplomo H.M.S,Politecnic,Tumkur-2010",SC,Tumkur,Daily wages,Housewife,Unknown,Education / Academia
2292,Shrirangapattana,Srinivasa G P,IND,34,0,863307.0,305500.0,Graduates,B.A From PES Evening College Mandya in 2014-15,GEN,Mandya,Agriculture and Social Service,No,"Agriculture / Farming, Social Work / Activism",Cound't Classify
2293,Mahalakshmi Layout,Srinivasamurthy,Karnataka Pragnyavantha Janatha Party,50,0,1157000.0,150000.0,Diploma Holders,B E (CS) Dr. Ambedkar Institute of technology Bangalore 1989-94,GEN,B.B.M.P(North),Business,House wife,Business / Entrepreneurship,Not Given
2294,B.T.M.Layout,Srinivasa Reddy.M,AAP,56,1,200308386.0,12054168.0,Postgraduates,"Bachelor of Arts, Bachelor of Laws From Bangalore University, 2012",GEN,B.B.M.P(South),Social Service and Business Consultant,House Wife,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify
2295,Arkalgud,Srinivasa M.G,IND,31,0,2443000.0,130000.0,Higher Secondary Education,"2nd PUC Pass, Venkateshawar Samyukta Padavi Purva College Ramanathpura, year 2009",GEN,Hassan,Business Agrticulture,Business Housewife,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
2296,Harihar,Srinivasa N H (Nandigavi),INC,44,0,92276927.0,1682177.0,Higher Secondary Education,PUC SJVP PU College Harihar in 1996,GEN,Davangere,S.S Construction and Developers Harihar,S.S Construction and Developers Harihar,Construction / Real Estate,Construction / Real Estate
2297,Madikeri,Srinivasa Rai B K,Karnataka Pragnyavantha Janatha Party,46,0,10240642.0,85000.0,Graduates,"Bachelor of Arts (B.A) from Christ College, Bangalore in 1997",GEN,Kodagu,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
2298,Gubbi,Srinivas T V,IND,36,0,15000.0,,Literate,6th Standard,GEN,Tumkur,Labour,No,Cound't Classify,Cound't Classify
2299,Anekal,Srinivas. C. Hullahalli,BJP,47,1,63360913.0,,Secondary Education,"SSLC at Govt,High School,Begur,Bengaluru South in 1994",SC,Bangalore Urban,Agriculture and Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
2300,Nagamangala,Sudha Shivaramegowda,BJP,58,5,1114307199.0,1121000.0,Secondary Education,"Secondary School Leaving Certificate from Sarashwathi Girls High School Thurvekere, Tumkur Dist. in 1980",GEN,Mandya,"Social Service, Educationalist","Business, Social Service, Agriculturist","Education / Academia, Social Work / Activism","Business / Entrepreneurship, Social Work / Activism, Agriculture / Farming"
2301,Rajarajeshwarinagar,Subhash S,IND,25,0,202000.0,,Graduates,BA Bengaluru University,GEN,B.B.M.P(Central),Social Service,Not Given,Social Work / Activism,Cound't Classify
2302,Chincholi,Subhash V Rathod,INC,58,0,29832136.0,3271000.0,Doctorates,LLM from Bengaluru University Bengaluru in 1991,SC,Gulbarga,Advocate,Professor,Law / Judiciary,Education / Academia
2303,Periyapatna,Subramanya B S,IND,38,0,5500000.0,84000.0,Secondary Education,SSLC Hunasawadi Piriyapatana Taluk - 2001-2002 passed,GEN,Mysore,Agriculture,House wife Business,Agriculture / Farming,Business / Entrepreneurship
2304,Gulbarga Dakshin,Sudhakar Alias Sudhendra,IND,50,0,19081742.0,920000.0,Higher Secondary Education,"PUC-II Banjara Education Society, Wadi (Jn) Year 1991",GEN,Gulbarga,Hotel Business,Hotel Business,Hospitality / Tourism,Hospitality / Tourism
2305,Kumta,Subrahmanya Bhat Madguni,IND,49,0,3200000.0,,Secondary Education,"SSLC Pass, Shri Babrulingeshwara Vidyalaya Masuru",GEN,Uttara Kannada,Media Representative,No,Media / Journalism,Cound't Classify
2306,Chincholi,Subhashchandra,IND,56,0,35000.0,,Higher Secondary Education,PUC from PU Board Govt of Karnataka Year 1982,SC,Gulbarga,Social Worker,Social Worker,Social Work / Activism,Social Work / Activism
2307,Arabhavi,Sudha Allamprabhu Hiremath,IND,38,0,1856000.0,,Postgraduates,MBA From Kuvempu University Shivamogga,GEN,Belgaum,Housework,Social Worker,Cound't Classify,Social Work / Activism
2308,Nanjangud,Subbaiah,IND,55,0,1770000.0,,Graduates,"JOC From Govt Padavi Purva College Kabballi, Gundlu pete Tq, Chamarajnagar 1989-90, PUC in 1988 from Doddahundi Bhogappa Govt. Pre-Graduation College",SC,Mysore,Social Service,Housewife,Social Work / Activism,Education / Academia
2309,Aland,Subhash Guttedar,BJP,71,0,75311329.0,31715759.0,Secondary Education,"SSLC from SVVS School, Tadkal in 1976",GEN,Gulbarga,Social Worker Agriculture,Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship
2310,Rajaji Nagar,Suhail Ahmed,IND,43,0,70000.0,,Secondary Education,"SSLC Pass From Sadaran Higher School, Karnataka In 1996-97",GEN,B.B.M.P(Central),Business,House Wife,Business / Entrepreneurship,Cound't Classify
2311,Hagaribommanahalli,Suguna K,NCP,28,0,26711645.0,150000.0,Higher Secondary Education,"PUC ,S.V.P Pre University College ,Sarjapura Bangalore in 2022",SC,Bellary,Beautician,"Small Business, Social worker",Arts / Entertainment,"Business / Entrepreneurship, Social Work / Activism"
2312,Chikkodi-Sadalga,Suhas Sadashivappa Walke,JD(S),38,0,151632308.0,1500000.0,Graduates,B.E. Medical Electronics from Dr. A.I.T. Visvesvaraya University,GEN,Belgaum,Social Service Self Worker,House wife,Social Work / Activism,Not Given
2313,Shirahatti,Sujata Ningappa Doddamani,INC,47,0,65553022.0,987666.0,Graduates,"B.A. From Shree Amruteshwara Arts and Commerce College Annigere, Karnataka University in 2020",SC,Gadag,Social Service Contractor,Govt. Job,Social Work / Activism,Politics / Public Service
2314,Chintamani,Sudhakara R,IND,37,0,23000.0,,Primary Education,"2nd Standard from Govt School, Chintamani Town, Chikkaballapur District in 1992",GEN,Chikkaballapur,Labour,House wife,Cound't Classify,Not Given
2315,Chikkaballapur,Sudhakar.N,IND,35,0,845000.0,,Graduates,B Com 2009 2010 Vishnupriya College Of management Chikkaballapura,GEN,Chikkaballapur,Business,Housewife Lecturer,Business / Entrepreneurship,"Education / Academia, Arts / Entertainment"
2316,Karkal,Sudhakara Acharya,IND,39,0,1713864.0,883000.0,Higher Secondary Education,"2nd PUC- Govt. Pre-University College, Belman In 2001-2002",GEN,Udupi,"Agriculture, Shilpa, LIC Agent, RCM Marketing","Agriculture, House Wife, RCM Marketing",Agriculture / Farming,Agriculture / Farming
2317,Sringeri,Sudhakara.S.Shetty,JD(S),65,1,557050168.0,43684213.0,Primary Education,"8th Std From Shri Abinava Ramananda Saraswathi Education Institute ,Hariharapura ,Koopa Taluk,Chikkamagaluru District in 1974",GEN,Chikmagalur,"Agriculture, Business , Education Institution",Education Institution Senior Principal,"Business / Entrepreneurship, Agriculture / Farming, Education / Academia",Education / Academia
2318,Chikmagalur,Sudha.K.B,BSP,51,0,5555000.0,1800000.0,Graduates,"Bachelor of Arts, 2nd Year, 1994-95, Government Primary Grade College, Mudigere",GEN,Chikmagalur,LIC Agent,Daily Wage Labour,Banking / Finance,Unknown
2319,Hangal,Subramanya Anant Hebbar,Hindustan Janta Party Secular,35,0,13125250.0,615551.0,Postgraduates,"MES, LAW college sirsi,(LLB) in 2021.",GEN,Haveri,"Advocate , business",House wife,"Law / Judiciary, Business / Entrepreneurship",Not Given
2320,Devar Hippargi,Sunagar Sharanappa Tippanna,INC,62,0,361352598.0,1000000.0,Higher Secondary Education,PUC .Sindagi HG PU College-1985-86,GEN,Bijapur,Agriculture Business,Housewife,"Agriculture / Farming, Business / Entrepreneurship",Education / Academia
2321,Haveri,Sujata. P. Chavan,AAP,29,0,519000.0,,Higher Secondary Education,B A Degree Pass in 2014 Sri Hukkerimatta Girls College Haveri,SC,Haveri,Housewife,KSRTC Mechanical,Education / Academia,Transportation / Logistics
2322,Sullia,Sunder Mera,KRPP,60,0,3655000.0,1400000.0,Graduates,BA Degree From Mulki Vijaya College In 1988,SC,Dakshina Kannada,Retired Employee,Housewife,Not Given,Education / Academia
2323,Harapanahalli,Sumanth Kumar R S,IND,32,0,18546657.0,2163015.0,Graduates,"B Com. Hiremegalageri Patil Siddhana Gowda college of Arts Commerce, Harapanahalli, Davangere University Golohunase. passed in 2012",GEN,Davangere,Auditor Tax Consultant,House wife,Banking / Finance,Not Given
2324,Krishnaraja,Sumalatha. S,Uttama Prajaakeeya Party,42,0,21685000.0,14150000.0,Secondary Education,"SSLC In 1996 from Institute of Education, Mysore-570004",GEN,Mysore,House Wife,Business,Cound't Classify,Business / Entrepreneurship
2325,Mangalore City South,Sumathi.S.Hegde,JD(S),60,0,30335000.0,15000000.0,Graduates,B A from Karnataka State Open University Mysore in 2006,GEN,Dakshina Kannada,Business,Retried Superior,Business / Entrepreneurship,Unknown
2326,Narasimharaja,Sundar Prem Kumar,Karnataka Rashtra Samithi,58,2,35359820.0,23218000.0,Higher Secondary Education,PUC Diploma,GEN,Mysore,Self Employee,House Wife,Unknown,Cound't Classify
2327,Bhadravati,Sumithra Bai,Karnataka Rashtra Samithi,55,1,9870000.0,60000.0,Primary Education,Paper Town Primary School 4th passed,GEN,Shimoga,House Wife,Agricultural,Cound't Classify,Agriculture / Farming
2328,Dasarahalli,Sumanth P. N.,IND,32,0,970000.0,,Graduates,B.com and MBS Bengaluru University,GEN,Bangalore Urban,Assistant Professor,House Wife,Education / Academia,Cound't Classify
2329,Malleshwaram,Suman,AAP,50,0,56162103.0,13188464.0,Technical/Professional Courses,"Diploma in Journalism (D.I.J.), Karnataka State Open University 2011",GEN,B.B.M.P(North),Freelance Journalism Catering Services,Real Estate Agent,Media / Journalism,Construction / Real Estate
2330,Ramdurg,Sunanda Ningbasappa Hadpad,BSP,40,0,750000.0,,Higher Secondary Education,PUC-II from Falahareshwar PU College Sureban Tq. Ramdurg Dist. Belagavi in 2001-02,GEN,Belgaum,Social Work,Private work,Social Work / Activism,Not Given
2331,Sullia,Sumana Bellarkar,AAP,40,0,881951.0,,Postgraduates,"M.B.A. from K.V.G. Engineering College, Belagum University in 2005",SC,Dakshina Kannada,House Wife,Not Applicable,Cound't Classify,Cound't Classify
2332,Hunsur,Sunil D.N.,Uttama Prajaakeeya Party,34,0,187440.0,139235.0,Unknown,Degree Incomplete from Mysore University in 2010,GEN,Mysore,Agricultural Labour,House wife,Agriculture / Farming,Not Given
2333,Kanakapura,Sunil Kumar,IND,29,0,2742000.0,366585.0,Graduates,"Bachelor of Arts, Kuvempu University, Shivamogga, 2016-17",GEN,Ramanagaram,Farmer,No,Agriculture / Farming,Cound't Classify
2334,Nagthan,Sunil Chavan,IND,39,0,919234.0,,Secondary Education,"SSLC From Prathap Simha Highschool satara, Kolhapura University Maharastra, in 2002",SC,Bijapur,Business,Not Given,Business / Entrepreneurship,Cound't Classify
2335,Hosadurga,Sunil Kumar.S. Tumbinakere,Uttama Prajaakeeya Party,34,0,1859908.0,1072000.0,Diploma Holders,"Diploma Rural Polytechnic ,Hasabhavi,2010",GEN,Chitradurga,Private Company worker,Teacher,Business / Entrepreneurship,Education / Academia
2336,Malleshwaram,Sunil Hebbi,National Peoples Party,39,0,5341000.0,,Postgraduates,"Medical Graduate RKM Medical College, Vijayapura Rajiv Gandhi Health University, Bangalore 2008, Karnataka",GEN,B.B.M.P(North),Doctor,Not Given,Medicine / Healthcare,Cound't Classify
2337,Haliyal,Sunil Hegade,BJP,57,4,91119902.0,55641270.0,Diploma Holders,B.E Mechanical IInd Semester from B.V.B College Hubbali in 1983,GEN,Uttara Kannada,"(1) Swaraja Tractors Agency, Shri Vigneshwara Kissan Samman Enterprises. (2) Rice Mill in partnership Modern Stores, Modern Rice Mill Haliyal. (3) Transport Contract Gajanan Commercials and Contractors Dandeli",Hindustan Petroleum Petrol Pump M s Shri Gajanan Petro Pump Haliyal,"Agriculture / Farming, Transportation / Logistics","Transportation / Logistics, Business / Entrepreneurship"
2338,Bhatkal,Sunil B. Naik,BJP,44,2,127590930.0,106097138.0,Higher Secondary Education,"PUC 1st year Passed in 2001 from Anjuman P.U. College, Bhatkal",GEN,Uttara Kannada,Businessman,Business Women,Business / Entrepreneurship,Business / Entrepreneurship
2339,Krishnaraja,Sundhally Somashekara,IND,56,0,66886000.0,5900000.0,Diploma Holders,"Diploma in Civil Engineering, CPC Polytechnic, Mysore - 1984",GEN,Mysore,Agriculture and Building Construction and Rent,Agriculture and Building Construction and Rent,"Agriculture / Farming, Construction / Real Estate","Agriculture / Farming, Construction / Real Estate"
2340,Byadgi,Sunita M Pujar,JD(S),46,0,15132800.0,403000.0,Postgraduates,M A Dakshin Bharat Hindi Prajara Sabha Dharwad in 2012-13,GEN,Haveri,Govt Officer and Agriculture,Govt Officer,"Politics / Public Service, Agriculture / Farming",Politics / Public Service
2341,Chamundeshwari,Suresh,IND,39,0,1390000.0,,Secondary Education,10th STD Government High School KR Mill Mysore in 1999,GEN,Mysore,Social Service,House Wife,Social Work / Activism,Cound't Classify
2342,Mangalore City South,Supreeth Kumar Poojary,Janahitha Paksha,45,0,2498000.0,395600.0,Secondary Education,"SSLC from St. Aloysius High School, Mangalore in 1993",GEN,Dakshina Kannada,Social Service,House Wife,Social Work / Activism,Cound't Classify
2343,Sirsi,Sunil Pawar,Uttama Prajaakeeya Party,36,0,171808.0,21519.0,Graduates,"Bachelor of Physical Education in 2011, Bachelor of Arts in 2008 from Dharwad University, Karnataka",GEN,Uttara Kannada,Self Employee (Dish Work),House wife,Business / Entrepreneurship,Not Given
2344,Hanur,Suresh .M,Karnataka Rashtra Samithi,39,0,895000.0,,Secondary Education,SSLC Krishtaraj Proudashale Hanur 2001- 20022,GEN,Chamarajnagar,Auto Driving,House Wife,Unknown,Cound't Classify
2345,Terdal,Suresh Arjun Madiwalar,JD(S),39,0,8174500.0,60000.0,Postgraduates,LLB Graduate- BLD Law University Hubbali in 2022,GEN,Bagalkot,Agriculture and Lawyer,Household,"Law / Judiciary, Agriculture / Farming",Not Given
2346,Chickpet,Sunil Shankar. G,IND,41,0,505000.0,,Secondary Education,SSLC from Sri Vinayaka School in 1998,GEN,B.B.M.P(Central),Provsion Store,Not Given,Business / Entrepreneurship,Cound't Classify
2347,Kumta,Suraj Naik Soni,JD(S),51,2,128784863.0,13866362.0,Postgraduates,"B.Sc. from JSS Dharwad College, Karnataka University Dharwad in 1992, PGDM- KLES IMER Belgaum recognised by AICTE (Govt of india)",GEN,Uttara Kannada,Businessman,Handicraft work,Business / Entrepreneurship,Arts / Entertainment
2348,Pulakeshinagar,Sunstar D Jairam,Gareeb Aadmi Party,69,0,109000.0,,Secondary Education,"SSLC Pass Corporation High School, Central Junior College, near Mysore Bank, Bangalore in 1980",SC,B.B.M.P(North),Social Worker,House Wife,Social Work / Activism,Cound't Classify
2349,Sedam,Suresh,IND,35,0,1425203.0,,Secondary Education,SSLC Karnataka State Education Board in 2004,GEN,Gulbarga,Self Employed,House Wife,Business / Entrepreneurship,Cound't Classify
2350,Babaleshwar,Sunil Rathod,Karnataka Rashtra Samithi,25,0,702316.0,185000.0,Graduates,"BCA from Rani Channamma University Belagavi, Chetana College Vijayapura",GEN,Bijapur,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
2351,Ramanagaram,Surendra Ramanagara,IND,42,0,556000.0,,Graduates,"BA In Government First Grade College, Kuvempunagar, Mysore Mysore",GEN,Ramanagaram,Business,Housewife,Business / Entrepreneurship,Education / Academia
2352,Jamkhandi,Suresh Bhutaleppa Hanchinal,Karnataka Rashtra Samithi,36,0,530000.0,2160000.0,Higher Secondary Education,PUC from Govt. P.U. College for Boys Jamkhandi in 2009,GEN,Bagalkot,Agriculture,House wife,Agriculture / Farming,Not Given
2353,Gokak,Suresh Basappa Maralingannavar,IND,49,0,2067000.0,30000.0,Postgraduates,M A in Political Science in 1998 K U Dharwad,GEN,Belgaum,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
2354,Malur,Suresh Kempanna,IND,46,0,21177000.0,,Graduates,"BA, Lal Bahadur Shastri College Bangalore in 1999",GEN,Kolar,Graphic Designer,House Wife,Arts / Entertainment,Cound't Classify
2355,Khanapur,Suresh Laxman Patil,IND,38,0,1300000.0,,Secondary Education,10th Pass,GEN,Belgaum,Agriculture,House wife,Agriculture / Farming,Not Given
2356,Kundgol,Suresh Kurabagatti,Karnataka Rashtra Samithi,32,0,5075000.0,,Secondary Education,SSLC,GEN,Dharwad,Business,House wife,Business / Entrepreneurship,Not Given
2357,Gokak,Suresh Pattanshetti,Uttama Prajaakeeya Party,35,0,377819.0,200000.0,Graduates,BA From Karnataka University Year 2008,GEN,Belgaum,"Agriculture, Self worker",Not Given,Agriculture / Farming,Cound't Classify
2358,Pulakeshinagar,Suresh Rathod,AAP,41,2,35038307.0,,Diploma Holders,"Bachelor of Engineering, Visvesvaraya Technological University Year 2003",SC,B.B.M.P(North),Businessman,Businessman,Business / Entrepreneurship,Business / Entrepreneurship
2359,Chitradurga,Suresh N,IND,53,0,1000000.0,,Higher Secondary Education,"PUC SJM College, Chitradurga",GEN,Chitradurga,Tailoring,House wife,Arts / Entertainment,Not Given
2360,Chintamani,Syed Aleem Pasha,Indian Labour Party (Ambedkar Phule),47,0,70000.0,,Unknown,SSLC Failed in 1993,GEN,Chikkaballapur,Driver,Home Maker - House Wife,Transportation / Logistics,Not Given
2361,Hosakote,Suresha K,IND,46,0,94422938.0,1607297.0,Secondary Education,"Secondary School Leaving Certificate from Government High School, Nandagudi in the year 1995",GEN,Bangalore Rural,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
2362,Chikkaballapur,Syed Amanulla,IND,61,0,1640000.0,38000.0,Secondary Education,SSLC Government High School Chikkaballapura,GEN,Chikkaballapur,Tailoring,No,Arts / Entertainment,Cound't Classify
2363,Hassan,Swaroop B. M,Purvanchal Mahapanchayat,35,0,500000.0,,Secondary Education,"7th Class, Govt School, Bilekallu - 1996-97",GEN,Hassan,Daily wage labor,Daily wage labor,Not Given,Not Given
2364,Bidar,Suryakanth Nagamarpalli,JD(S),54,0,515522487.0,,Higher Secondary Education,"PUC - M.S. College, Malleshwaram, Bangalore",GEN,Bidar,Social Service Worker,House wife,Social Work / Activism,Not Given
2365,Shirahatti,Sushma Sunil Sarvade,Uttama Prajaakeeya Party,37,0,440500.0,1879.0,Graduates,"B Com. From Karnataka University Dharwad, Year-2008",SC,Gadag,House Wife,Private job,Cound't Classify,Not Given
2366,Hebbal,Suresha B S,INC,51,2,6481494854.0,1148674685.0,Higher Secondary Education,"PUC from National College, Bangalore in 1991",GEN,B.B.M.P(North),Agriculturist and Land Lord,Agriculturist and Business,Agriculture / Farming,"Business / Entrepreneurship, Agriculture / Farming"
2367,Hunsur,Syed Anif,IND,31,0,157000.0,455000.0,Higher Secondary Education,"1st Year PUC from Boys Junior College, Hunsur Town In 2010-11",GEN,Mysore,Electronic Media Reporter,House wife,Media / Journalism,Not Given
2368,Shanti Nagar,Syed Asif Bukhari,Bharatiya Prajagala Kalyana Paksha,50,0,312129.0,,Graduates,B.A. From Dr. C.V. Raman University Bilaspur C.G. In Year 2016,GEN,B.B.M.P(Central),Tea Maker,Not Given,Unknown,Cound't Classify
2369,Davanagere North,Surjeeth.G.,Sanyukt Vikas Party,33,0,24287237.0,9030181.0,Graduates,Graduated Cambridge London 2015,GEN,Davangere,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
2370,Nagamangala,Sureshgowdaa,JD(S),58,5,331317283.0,95044010.0,Graduates,"B.E. from PES College, Mandya Mysore University in 1987-88",GEN,Mandya,Agriculturist,Assistant Professor of Economics,Agriculture / Farming,"Education / Academia, Consulting / Advisory"
2371,Mandya,Suvarna,Aihra National Party,35,0,126400.0,,Secondary Education,7th Std. From Govt school Kollegala 2000,GEN,Mandya,House wife,Journalists,Not Given,Media / Journalism
2372,Raichur,Syed Rasheed Pasha,IND,41,0,670000.0,,Secondary Education,SSLC Nayamadasara Boys High School Raichur in 1997-98,GEN,Raichur,Lorry Builder Labour Work,House Wife,Construction / Real Estate,Cound't Classify
2373,Madhugiri,Syed Muzaamil Pashaa,AAP,38,0,8871743.0,890000.0,Vocational Training,"JOC ,Vocational educational board ,GOVT junior college Madhugiri 2003-2004",GEN,Tumkur,Business,Tailor,Business / Entrepreneurship,Arts / Entertainment
2374,Channapatna,Syed Javeed,Indian Movement Party,40,0,9030000.0,700000.0,Literate,"2nd Std, Boys Primary Urdu Government School,Channapatna in 1988",GEN,Ramanagaram,Toys Work,House Wife,Arts / Entertainment,Cound't Classify
2375,Hebbal,Syed Mohid Altaf,JD(S),45,2,57766644.0,,Doctorates,"Ph.D from Rabindranath Tagore University, Bhopal, MP in 2016-2021, LLM from University Law College, Bangalore in 2009-2011, BA LLB from Bangalore University in 1995-2000",GEN,B.B.M.P(North),Educationist Practicing Advocate,Consultancy Tuitions,"Education / Academia, Law / Judiciary",Consulting / Advisory
2376,Raichur,Syed Ishaq Hussain,SDPI,52,0,13289072.0,2311800.0,Secondary Education,"SSLC- Govt. Boys High School Androon Quilla, Raichur",GEN,Raichur,Business,House work,Business / Entrepreneurship,Cound't Classify
2377,Gauribidanur,Syed Nasir Ali,AAP,52,0,334000.0,,Primary Education,7th Std. from Urdu Higher Primary School Alipura In 1977-78,GEN,Chikkaballapur,Businessman,House Wife,Business / Entrepreneurship,Cound't Classify
2378,Vijay Nagar,Syed Sabeer,IND,47,0,8691500.0,,Secondary Education,6th class,GEN,B.B.M.P(South),Vehicle Advisor,House wife,Business / Entrepreneurship,Not Given
2379,Chikmagalur,Syed Zabi,IND,42,0,2673347.0,695903.0,Unknown,Unknown,GEN,Chikmagalur,Business,House Wife,Business / Entrepreneurship,Cound't Classify
2380,Byatarayanapura,T Dasappa,IND,55,0,163750.0,,Secondary Education,"SSLC from Goverment High School Byalya, Madhugiri Taluk Tumkur District in 1987",GEN,Bangalore Urban,Day Labour,Day Labour,Social Work / Activism,Social Work / Activism
2381,Hosakote,T Nagaraju,IND,39,0,3320000.0,700000.0,Secondary Education,9th Pass Chikkatirupathi Government School 1998-99,GEN,Bangalore Rural,Agriculture,house wife,Agriculture / Farming,Not Given
2382,Siruguppa,T. Darappa Naik,KRPP,48,0,11300000.0,700000.0,Graduates,"B.E from Mechanical, Rao Bahadur Mahabaleshwar Engineering College, Bellary In 1997",ST,Bellary,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
2383,Hanur,T John Peter,Republican Party of India,61,0,6375500.0,3305000.0,Secondary Education,SSLC- M.G.S.V. High School Kollegala 1980-81,GEN,Chamarajnagar,Social worker,LIC Employee,Social Work / Activism,Banking / Finance
2384,Tiptur,T N Kumaraswamy,IND,59,0,1243129.0,,Secondary Education,SSLC Government PU college Tiptur,GEN,Tumkur,Barber,no,Unknown,Cound't Classify
2385,Yelahanka,T R Narayana Rao,Indian Labour Party (Ambedkar Phule),45,0,12000.0,,Secondary Education,SSLC Yelahanka Govt School 1995,GEN,Bangalore Urban,Social Worker,Not Given,Social Work / Activism,Cound't Classify
2386,Sira,T B Jayachandra,INC,74,6,396849065.0,20534123.0,Postgraduates,"Bachelor of Laws from Vidyodaya Law College, Tumkur in 1972, Bangalore University, Bachelor of Science from Government First College at Tumkur, Mysore University in 1969",GEN,Tumkur,"Social Worker, Agricultist and Non Practicing Advocate",Agriculturist,"Social Work / Activism, Agriculture / Farming, Law / Judiciary",Agriculture / Farming
2387,Sagar,Syed Zakeer,JD(S),38,0,2650000.0,,Secondary Education,10th Pass from Junior College -2001,GEN,Shimoga,Small business,House wife,Business / Entrepreneurship,Not Given
2388,Kampli,T H Suresh Babu,BJP,40,6,487184085.0,379278982.0,Graduates,Bachelor of Engineering (Mechanical) at Vijayanagar Engineering College at Ballari in 2005,ST,Bellary,"Social Worker Politician, Business, Agriculturist","Business, Real Estate Developer, Agriculturist","Politics / Public Service, Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Construction / Real Estate, Agriculture / Farming"
2389,Tumkur City,T N Rajesh,Uttama Prajaakeeya Party,26,0,200000.0,25000.0,Higher Secondary Education,PUC Govt Degree Purva College tumkur 2014 15,GEN,Tumkur,Self Business,Not Given,Business / Entrepreneurship,Cound't Classify
2390,Tiptur,T S Chandrashekhar,AAP,47,1,8875000.0,150000.0,Graduates,"BA, LLB, Vishweshwarapuram Law College, Bengaluru 2018",GEN,Tumkur,Agriculture and Lawyer,House wife,"Law / Judiciary, Agriculture / Farming",Not Given
2391,Bagepalli,T. Muniswami (Sai),BSP,41,0,2702000.0,,Diploma Holders,Deploma in Drawing Government Polytenic Bagepalli 2022,GEN,Chikkaballapur,Artist,House Wife,Arts / Entertainment,Cound't Classify
2392,Belgaum Rural,T. Malathi,AAP,61,0,630740.0,200000.0,Graduates,B.E. from Bangalore University in 1987,GEN,Belgaum,Proprietrix in Bharath Trading House,Not Given,Business / Entrepreneurship,Cound't Classify
